customer_id,seat_count,ticket_price,total_amount,payment_method,route_id,vehicle_type,total_seats,distance_km,base_fare,lead_time_days,booking_month,travel_month,booking_day_of_week,travel_day_of_week,booking_hour,travel_hour,price_per_seat,distance_category,is_cancelled
CUST04855,1,434.16,434.16,CARD,R030,BIKE,1,112,391.56,17,9,10,0,3,0,16,434.16,Medium,0
CUST01610,2,859.88,1719.76,CASH,R010,AUTO,3,305,781.03,41,11,12,5,4,0,9,859.88,Long,0
CUST04709,3,571.53,1714.59,CARD,R017,CAB,6,322,615.32,37,9,10,5,0,0,10,571.53,Long,0
CUST03970,2,1004.2,2008.4,NETBANKING,R002,CAB,5,370,1006.8,57,12,2,0,1,0,8,1004.2,Long,1
CUST03541,2,935.96,1871.92,WALLET,R023,CAB,6,385,883.19,31,12,1,1,4,0,5,935.96,Long,0
CUST03975,1,433.43,433.43,CARD,R030,CAB,5,112,391.56,36,12,1,6,0,0,11,433.43,Medium,0
CUST01532,4,683.82,2735.28,WALLET,R014,CAB,4,201,589.52,15,4,5,1,2,0,10,683.82,Medium,0
CUST01463,3,373.4,1120.2,CASH,R015,AUTO,3,133,405.08,35,12,1,5,5,0,8,373.40000000000003,Medium,0
CUST00327,2,1667.65,3335.3,NETBANKING,R026,BUS,30,546,1725.95,29,8,9,0,1,0,14,1667.65,Long,0
CUST01396,1,1179.22,1179.22,CASH,R018,BIKE,1,448,1294.44,7,5,5,6,6,0,16,1179.22,Long,0
CUST00394,1,1922.81,1922.81,WALLET,R011,BUS,50,531,1605.83,27,2,3,6,5,0,7,1922.81,Long,0
CUST01953,1,1481.89,1481.89,CARD,R003,BIKE,1,537,1539.27,58,6,8,6,1,0,13,1481.89,Long,0
CUST00016,1,1201.31,1201.31,CASH,R018,CAB,4,448,1294.44,40,8,9,3,1,0,22,1201.31,Long,0
CUST00038,3,641.83,1925.49,UPI,R014,AUTO,3,201,589.52,35,11,12,1,1,0,21,641.83,Medium,0
CUST00176,3,861.17,2583.51,UPI,R028,CAB,5,242,810.65,31,9,10,5,1,0,17,861.1700000000001,Medium,0
CUST03316,4,1152.91,4611.64,WALLET,R002,BUS,40,370,1006.8,60,1,3,2,6,0,20,1152.91,Long,0
CUST03935,2,726.38,1452.76,CARD,R010,AUTO,3,305,781.03,57,8,10,6,0,0,9,726.38,Long,0
CUST01632,3,981.91,2945.73,NETBANKING,R005,CAB,4,389,1090.98,60,5,7,6,3,0,20,981.91,Long,0
CUST01197,4,1163.95,4655.8,UPI,R005,BUS,40,389,1090.98,49,11,1,6,6,0,5,1163.95,Long,0
CUST02140,5,367.17,1835.85,CARD,R015,BUS,45,133,405.08,41,2,3,6,5,0,12,367.16999999999996,Medium,0
CUST02166,1,1558.08,1558.08,CARD,R011,AUTO,3,531,1605.83,53,3,5,0,4,0,11,1558.08,Long,0
CUST03761,2,605.01,1210.02,UPI,R006,CAB,6,180,630.68,13,3,3,0,6,0,9,605.01,Medium,0
CUST00026,4,755.75,3023.0,UPI,R022,BUS,50,278,780.99,43,11,12,1,2,0,15,755.75,Medium,0
CUST04769,2,395.47,790.94,NETBANKING,R030,CAB,5,112,391.56,47,11,1,2,0,0,11,395.47,Medium,0
CUST04987,3,353.31,1059.93,CARD,R021,AUTO,3,110,343.17,54,12,2,3,1,0,10,353.31,Medium,0
CUST02995,4,1145.58,4582.32,CASH,R020,BUS,40,422,1269.64,31,8,9,4,0,0,22,1145.58,Long,0
CUST03412,1,379.32,379.32,UPI,R021,BIKE,1,110,343.17,12,8,8,6,4,0,22,379.32,Medium,1
