booking_id,customer_id,trip_id,booking_date,travel_date,seat_count,ticket_price,total_amount,payment_method,booking_status
BOOK000001,CUST04855,TRIP00295,2025-09-15,2025-10-02,1,434.16,434.16,CARD,CONFIRMED
BOOK000002,CUST01610,TRIP00276,2025-11-08,2025-12-19,2,859.88,1719.76,CASH,PENDING
BOOK000003,CUST04709,TRIP00150,2025-09-06,2025-10-13,3,571.53,1714.59,CARD,CONFIRMED
BOOK000004,CUST03970,TRIP00218,2025-12-29,2026-02-24,2,1004.2,2008.4,NETBANKING,CANCELLED
BOOK000005,CUST03541,TRIP00065,2024-12-17,2025-01-17,2,935.96,1871.92,WALLET,CONFIRMED
BOOK000006,CUST03975,TRIP00031,2024-12-08,2025-01-13,1,433.43,433.43,CARD,CONFIRMED
BOOK000007,CUST01532,TRIP00146,2026-04-21,2026-05-06,4,683.82,2735.28,WALLET,CONFIRMED
BOOK000008,CUST01463,TRIP00007,2024-12-14,2025-01-18,3,373.4,1120.2,CASH,CONFIRMED
BOOK000009,CUST00327,TRIP00259,2025-08-11,2025-09-09,2,1667.65,3335.3,NETBANKING,CONFIRMED
BOOK000010,CUST01396,TRIP00085,2026-05-17,2026-05-24,1,1179.22,1179.22,CASH,CONFIRMED
BOOK000011,CUST00394,TRIP00066,2025-02-16,2025-03-15,1,1922.81,1922.81,WALLET,CONFIRMED
BOOK000012,CUST01953,TRIP00030,2026-06-07,2026-08-04,1,1481.89,1481.89,CARD,CONFIRMED
BOOK000013,CUST00016,TRIP00024,2025-08-21,2025-09-30,1,1201.31,1201.31,CASH,CONFIRMED
BOOK000014,CUST00038,TRIP00173,2025-11-25,2025-12-30,3,641.83,1925.49,UPI,CONFIRMED
BOOK000015,CUST00176,TRIP00213,2025-09-27,2025-10-28,3,861.17,2583.51,UPI,CONFIRMED
BOOK000016,CUST03316,TRIP00073,2025-01-29,2025-03-30,4,1152.91,4611.64,WALLET,CONFIRMED
BOOK000017,CUST03935,TRIP00052,2025-08-31,2025-10-27,2,726.38,1452.76,CARD,CONFIRMED
BOOK000018,CUST01632,TRIP00152,2026-05-17,2026-07-16,3,981.91,2945.73,NETBANKING,CONFIRMED
BOOK000019,CUST01197,TRIP00166,2025-11-30,2026-01-18,4,1163.95,4655.8,UPI,CONFIRMED
