operator_id,operator_name,city
OP001,Travel Operator 1,Thanjavur
OP002,Travel Operator 2,Pondicherry
OP003,Travel Operator 3,Trichy
OP004,Travel Operator 4,Vellore
OP005,Travel Operator 5,Chennai
OP006,Travel Operator 6,Hyderabad
OP007,Travel Operator 7,Hyderabad
OP008,Travel Operator 8,Salem
OP009,Travel Operator 9,Salem
OP010,Travel Operator 10,Madurai
OP011,Travel Operator 11,Coimbatore
OP012,Travel Operator 12,Chennai
OP013,Travel Operator 13,Coimbatore
OP014,Travel Operator 14,Erode
OP015,Travel Operator 15,Thanjavur
OP016,Travel Operator 16,Pondicherry
OP017,Travel Operator 17,Chennai
OP018,Travel Operator 18,Bengaluru
OP019,Travel Operator 19,Tirunelveli
OP020,Travel Operator 20,Coimbatore
