route_id,route_name,source,destination,distance_km,base_fare
R001,Pondicherry To Chennai,Pondicherry,Chennai,384,1072.45
R002,Thanjavur To Coimbatore,Thanjavur,Coimbatore,370,1006.8
R003,Pondicherry To Erode,Pondicherry,Erode,537,1539.27
R004,Bengaluru To Madurai,Bengaluru,Madurai,618,1342.88
R005,Bengaluru To Trichy,Bengaluru,Trichy,389,1090.98
R006,Trichy To Salem,Trichy,Salem,180,630.68
R007,Madurai To Erode,Madurai,Erode,636,1980.46
R008,Bengaluru To Erode,Bengaluru,Erode,284,827.65
R009,Chennai To Vellore,Chennai,Vellore,292,894.23
R010,Hyderabad To Madurai,Hyderabad,Madurai,305,781.03
R011,Bengaluru To Thanjavur,Bengaluru,Thanjavur,531,1605.83
R012,Hyderabad To Pondicherry,Hyderabad,Pondicherry,370,938.58
R013,Hyderabad To Erode,Hyderabad,Erode,147,405.2
R014,Coimbatore To Chennai,Coimbatore,Chennai,201,589.52
R015,Tirunelveli To Coimbatore,Tirunelveli,Coimbatore,133,405.08
R016,Pondicherry To Tirunelveli,Pondicherry,Tirunelveli,523,1357.24
R017,Coimbatore To Tirunelveli,Coimbatore,Tirunelveli,322,615.32
R018,Trichy To Erode,Trichy,Erode,448,1294.44
R019,Thanjavur To Hyderabad,Thanjavur,Hyderabad,332,952.53
R020,Trichy To Thanjavur,Trichy,Thanjavur,422,1269.64
R021,Thanjavur To Trichy,Thanjavur,Trichy,110,343.17
R022,Bengaluru To Chennai,Bengaluru,Chennai,278,780.99
R023,Erode To Bengaluru,Erode,Bengaluru,385,883.19
R024,Madurai To Thanjavur,Madurai,Thanjavur,544,1374.49
R025,Vellore To Bengaluru,Vellore,Bengaluru,329,1065.62
R026,Vellore To Pondicherry,Vellore,Pondicherry,546,1725.95
R027,Tirunelveli To Madurai,Tirunelveli,Madurai,599,1178.25
R028,Bengaluru To Coimbatore,Bengaluru,Coimbatore,242,810.65
R029,Chennai To Coimbatore,Chennai,Coimbatore,173,436.21
R030,Thanjavur To Pondicherry,Thanjavur,Pondicherry,112,391.56
