customer_id,customer_name,gender,age,city,registration_date
CUST00001,Customer 1,Male,19,Pondicherry,2025-10-16
CUST00002,Customer 2,Male,32,Madurai,2024-10-08
CUST00003,Customer 3,Male,61,Pondicherry,2026-01-24
CUST00004,Customer 4,Male,55,Tirunelveli,2025-07-12
CUST00005,Customer 5,Male,23,Trichy,2024-02-02
CUST00006,Customer 6,Other,56,Chennai,2024-08-26
CUST00007,Customer 7,Male,63,Hyderabad,2025-07-28
CUST00008,Customer 8,Other,44,Trichy,2025-12-19
CUST00009,Customer 9,Other,35,Chennai,2025-04-04
CUST00010,Customer 10,Male,62,Tirunelveli,2026-02-16
CUST00011,Customer 11,Female,27,Trichy,2024-12-14
CUST00012,Customer 12,Female,24,Coimbatore,2026-02-20
CUST00013,Customer 13,Male,40,Thanjavur,2025-01-24
CUST00014,Customer 14,Female,20,Pondicherry,2025-09-10
CUST00015,Customer 15,Other,25,Tirunelveli,2025-04-15
CUST00016,Customer 16,Other,36,Hyderabad,2024-03-21
CUST00017,Customer 17,Female,54,Trichy,2025-09-25
CUST00018,Customer 18,Male,20,Hyderabad,2025-12-22
CUST00019,Customer 19,Female,23,Trichy,2024-08-21
CUST00020,Customer 20,Male,42,Salem,2026-06-06
CUST00021,Customer 21,Other,41,Madurai,2025-04-09
CUST00022,Customer 22,Female,31,Hyderabad,2025-01-14
CUST00023,Customer 23,Other,61,Hyderabad,2024-09-30
CUST00024,Customer 24,Other,58,Madurai,2024-03-14
CUST00025,Customer 25,Other,33,Madurai,2025-06-30
CUST00026,Customer 26,Female,35,Hyderabad,2025-04-18
CUST00027,Customer 27,Other,32,Hyderabad,2025-12-05
CUST00028,Customer 28,Male,32,Chennai,2024-11-28
CUST00029,Customer 29,Female,43,Salem,2026-04-04
CUST00030,Customer 30,Male,54,Pondicherry,2024-03-08
CUST00031,Customer 31,Male,59,Erode,2024-11-18
CUST00032,Customer 32,Other,47,Madurai,2025-02-09
CUST00033,Customer 33,Male,33,Pondicherry,2024-09-28
CUST00034,Customer 34,Other,34,Pondicherry,2025-07-28
CUST00035,Customer 35,Female,55,Tirunelveli,2025-08-21
CUST00036,Customer 36,Male,26,Vellore,2025-01-05
CUST00037,Customer 37,Male,21,Coimbatore,2025-05-20
CUST00038,Customer 38,Other,28,Hyderabad,2024-06-05
CUST00039,Customer 39,Other,22,Tirunelveli,2025-03-08
CUST00040,Customer 40,Other,47,Vellore,2025-01-25
CUST00041,Customer 41,Other,18,Hyderabad,2024-09-14
CUST00042,Customer 42,Male,61,Vellore,2026-01-08
CUST00043,Customer 43,Female,59,Thanjavur,2026-02-07
CUST00044,Customer 44,Female,45,Madurai,2024-04-24
CUST00045,Customer 45,Male,64,Pondicherry,2025-04-09
CUST00046,Customer 46,Other,29,Vellore,2024-09-26
CUST00047,Customer 47,Other,37,Hyderabad,2024-04-18
CUST00048,Customer 48,Other,30,Madurai,2025-06-03
CUST00049,Customer 49,Male,52,Vellore,2025-01-17
CUST00050,Customer 50,Other,38,Erode,2024-01-01
CUST00051,Customer 51,Male,41,Salem,2024-01-20
CUST00052,Customer 52,Male,33,Bengaluru,2024-09-02
CUST00053,Customer 53,Male,64,Erode,2024-03-21
CUST00054,Customer 54,Male,52,Madurai,2026-04-15
CUST00055,Customer 55,Other,48,Vellore,2024-05-11
CUST00056,Customer 56,Female,51,Bengaluru,2024-06-18
CUST00057,Customer 57,Male,52,Pondicherry,2025-03-09
CUST00058,Customer 58,Male,63,Salem,2025-12-07
CUST00059,Customer 59,Other,59,Thanjavur,2025-02-12
CUST00060,Customer 60,Other,46,Coimbatore,2025-03-24
CUST00061,Customer 61,Male,22,Thanjavur,2024-09-10
CUST00062,Customer 62,Other,53,Trichy,2024-01-22
CUST00063,Customer 63,Male,18,Coimbatore,2025-08-25
CUST00064,Customer 64,Other,21,Trichy,2025-12-25
CUST00065,Customer 65,Male,39,Coimbatore,2024-03-10
CUST00066,Customer 66,Male,35,Hyderabad,2025-06-10
CUST00067,Customer 67,Male,52,Madurai,2025-05-12
CUST00068,Customer 68,Other,54,Erode,2026-01-10
CUST00069,Customer 69,Female,44,Trichy,2024-09-05
CUST00070,Customer 70,Male,60,Tirunelveli,2024-04-06
CUST00071,Customer 71,Female,44,Erode,2024-12-28
CUST00072,Customer 72,Other,21,Hyderabad,2026-06-03
CUST00073,Customer 73,Other,24,Chennai,2025-10-31
CUST00074,Customer 74,Other,39,Coimbatore,2025-02-16
CUST00075,Customer 75,Male,30,Vellore,2024-09-11
CUST00076,Customer 76,Male,45,Madurai,2025-04-04
CUST00077,Customer 77,Female,33,Coimbatore,2024-10-12
CUST00078,Customer 78,Other,24,Chennai,2025-03-29
CUST00079,Customer 79,Other,18,Coimbatore,2025-10-29
CUST00080,Customer 80,Male,28,Tirunelveli,2026-02-10
CUST00081,Customer 81,Female,31,Tirunelveli,2025-05-12
CUST00082,Customer 82,Male,42,Chennai,2024-03-01
CUST00083,Customer 83,Female,47,Salem,2025-02-03
CUST00084,Customer 84,Other,64,Vellore,2025-03-09
CUST00085,Customer 85,Other,49,Madurai,2025-11-08
CUST00086,Customer 86,Female,31,Chennai,2024-07-13
CUST00087,Customer 87,Other,52,Chennai,2025-08-16
CUST00088,Customer 88,Female,21,Chennai,2026-02-04
CUST00089,Customer 89,Female,50,Vellore,2025-08-21
CUST00090,Customer 90,Male,50,Coimbatore,2024-06-10
CUST00091,Customer 91,Male,22,Bengaluru,2026-05-21
CUST00092,Customer 92,Other,33,Tirunelveli,2024-03-10
CUST00093,Customer 93,Other,33,Bengaluru,2024-05-02
CUST00094,Customer 94,Male,57,Coimbatore,2025-08-31
CUST00095,Customer 95,Other,55,Bengaluru,2025-03-05
CUST00096,Customer 96,Female,34,Trichy,2025-06-19
CUST00097,Customer 97,Other,38,Trichy,2025-11-16
CUST00098,Customer 98,Female,26,Hyderabad,2024-09-28
CUST00099,Customer 99,Female,47,Thanjavur,2025-10-22
CUST00100,Customer 100,Male,18,Erode,2026-02-08
