route_id,route_name,source,destination,distance_km,base_fare
R001,Pondicherry to Chennai,Pondicherry,Chennai,384,1072.45
R002,Thanjavur to Coimbatore,Thanjavur,Coimbatore,370,1006.8
R003,Pondicherry to Erode,Pondicherry,Erode,537,1539.27
R004,Bengaluru to Madurai,Bengaluru,Madurai,618,1342.88
R005,Bengaluru to Trichy,Bengaluru,Trichy,389,1090.98
R006,Trichy to Salem,Trichy,Salem,180,630.68
R007,Madurai to Erode,Madurai,Erode,636,1980.46
R008,Bengaluru to Erode,Bengaluru,Erode,284,827.65
R009,Chennai to Vellore,Chennai,Vellore,292,894.23
R010,Hyderabad to Madurai,Hyderabad,Madurai,305,781.03
R011,Bengaluru to Thanjavur,Bengaluru,Thanjavur,531,1605.83
R012,Hyderabad to Pondicherry,Hyderabad,Pondicherry,370,938.58
R013,Hyderabad to Erode,Hyderabad,Erode,147,405.2
R014,Coimbatore to Chennai,Coimbatore,Chennai,201,589.52
R015,Tirunelveli to Coimbatore,Tirunelveli,Coimbatore,133,405.08
R016,Pondicherry to Tirunelveli,Pondicherry,Tirunelveli,523,1357.24
R017,Coimbatore to Tirunelveli,Coimbatore,Tirunelveli,322,615.32
R018,Trichy to Erode,Trichy,Erode,448,1294.44
R019,Thanjavur to Hyderabad,Thanjavur,Hyderabad,332,952.53
R020,Trichy to Thanjavur,Trichy,Thanjavur,422,1269.64
R021,Thanjavur to Trichy,Thanjavur,Trichy,110,343.17
R022,Bengaluru to Chennai,Bengaluru,Chennai,278,780.99
R023,Erode to Bengaluru,Erode,Bengaluru,385,883.19
R024,Madurai to Thanjavur,Madurai,Thanjavur,544,1374.49
R025,Vellore to Bengaluru,Vellore,Bengaluru,329,1065.62
R026,Vellore to Pondicherry,Vellore,Pondicherry,546,1725.95
R027,Tirunelveli to Madurai,Tirunelveli,Madurai,599,1178.25
R028,Bengaluru to Coimbatore,Bengaluru,Coimbatore,242,810.65
R029,Chennai to Coimbatore,Chennai,Coimbatore,173,436.21
R030,Thanjavur to Pondicherry,Thanjavur,Pondicherry,112,391.56
