trip_id,route_id,operator_id,vehicle_type,departure_datetime,arrival_datetime,total_seats
TRIP00001,R028,OP006,AUTO,2025-07-19 21:30:00,2025-07-20 02:13:33.743605,3
TRIP00002,R016,OP003,CAB,2026-03-10 05:30:00,2026-03-10 15:39:01.699616,5
TRIP00003,R019,OP015,AUTO,2025-01-26 05:45:00,2025-01-26 12:49:07.252819,3
TRIP00004,R018,OP005,AUTO,2025-06-01 19:45:00,2025-06-02 03:21:30.555825,3
TRIP00005,R029,OP003,CAB,2025-11-18 08:30:00,2025-11-18 11:34:02.831042,6
TRIP00006,R011,OP008,CAB,2026-09-14 19:30:00,2026-09-15 06:19:14.586288,5
TRIP00007,R015,OP008,AUTO,2025-01-18 08:00:00,2025-01-18 09:59:39.116603,3
TRIP00008,R002,OP005,AUTO,2026-01-13 09:30:00,2026-01-13 15:07:24.666057,3
TRIP00009,R005,OP003,AUTO,2026-07-18 05:45:00,2026-07-18 12:06:37.989447,3
TRIP00010,R011,OP008,BIKE,2025-07-02 15:00:00,2025-07-02 23:41:31.268452,1
TRIP00011,R016,OP007,CAB,2026-08-03 06:00:00,2026-08-03 14:17:32.820841,5
TRIP00012,R015,OP002,CAB,2025-03-07 07:15:00,2025-03-07 09:58:33.637597,6
TRIP00013,R001,OP018,BIKE,2025-08-29 07:30:00,2025-08-29 13:02:25.753479,1
TRIP00014,R026,OP016,AUTO,2025-03-25 18:30:00,2025-03-26 03:03:42.658582,3
TRIP00015,R010,OP018,AUTO,2026-02-15 22:00:00,2026-02-16 03:14:52.928232,3
TRIP00016,R011,OP016,AUTO,2026-12-13 09:00:00,2026-12-13 17:07:27.647062,3
TRIP00017,R011,OP013,BUS,2025-06-12 08:30:00,2025-06-12 18:58:35.371918,30
TRIP00018,R016,OP019,CAB,2025-02-23 12:45:00,2025-02-24 00:06:17.231464,4
TRIP00019,R013,OP012,AUTO,2025-06-06 09:30:00,2025-06-06 12:16:11.029683,3
TRIP00020,R008,OP010,AUTO,2025-01-20 21:30:00,2025-01-21 02:27:21.162891,3
TRIP00021,R030,OP005,BUS,2026-07-18 07:00:00,2026-07-18 09:14:23.498441,40
TRIP00022,R029,OP012,BUS,2025-08-24 20:00:00,2025-08-24 23:13:10.310797,45
TRIP00023,R020,OP015,BUS,2026-06-06 10:45:00,2026-06-06 19:08:11.104040,45
