cohort_month,cohort_index,active_customers,cohort_size,retention_rate
2024-11,0,182,182,100.0
2024-11,1,28,182,15.384615384615385
2024-11,2,21,182,11.538461538461538
2024-11,3,24,182,13.186813186813188
2024-11,4,20,182,10.989010989010989
2024-11,5,24,182,13.186813186813188
2024-11,6,39,182,21.428571428571427
2024-11,7,33,182,18.13186813186813
2024-11,8,30,182,16.483516483516482
2024-11,9,25,182,13.736263736263737
2024-11,10,27,182,14.835164835164836
2024-11,11,24,182,13.186813186813188
2024-11,12,18,182,9.89010989010989
2024-11,13,28,182,15.384615384615385
2024-11,14,22,182,12.087912087912088
2024-11,15,20,182,10.989010989010989
2024-11,16,14,182,7.6923076923076925
2024-11,17,33,182,18.13186813186813
2024-11,18,18,182,9.89010989010989
2024-11,19,17,182,9.340659340659341
2024-11,20,23,182,12.637362637362637
2024-11,21,23,182,12.637362637362637
2024-11,22,23,182,12.637362637362637
2024-11,23,20,182,10.989010989010989
2024-11,24,7,182,3.8461538461538463
2024-11,25,6,182,3.296703296703297
2024-12,0,502,502,100.0
2024-12,1,60,502,11.952191235059761
2024-12,2,61,502,12.151394422310757
2024-12,3,54,502,10.756972111553784
2024-12,4,74,502,14.741035856573706
2024-12,5,103,502,20.51792828685259
2024-12,6,87,502,17.330677290836654
2024-12,7,71,502,14.143426294820719
2024-12,8,63,502,12.549800796812749
2024-12,9,65,502,12.94820717131474
2024-12,10,63,502,12.549800796812749
2024-12,11,59,502,11.752988047808765
2024-12,12,65,502,12.94820717131474
2024-12,13,72,502,14.342629482071715
2024-12,14,46,502,9.163346613545817
2024-12,15,60,502,11.952191235059761
2024-12,16,56,502,11.155378486055776
2024-12,17,54,502,10.756972111553784
2024-12,18,55,502,10.95617529880478
2024-12,19,72,502,14.342629482071715
2024-12,20,71,502,14.143426294820719
2024-12,21,76,502,15.139442231075698
2024-12,22,56,502,11.155378486055776
2024-12,23,32,502,6.374501992031872
2024-12,24,12,502,2.3904382470119523
2025-01,0,612,612,100.0
2025-01,1,80,612,13.071895424836603
2025-01,2,80,612,13.071895424836603
2025-01,3,97,612,15.849673202614378
2025-01,4,119,612,19.444444444444446
2025-01,5,97,612,15.849673202614378
2025-01,6,75,612,12.254901960784313
2025-01,7,79,612,12.908496732026146
2025-01,8,77,612,12.581699346405228
2025-01,9,63,612,10.294117647058822
2025-01,10,67,612,10.947712418300654
2025-01,11,85,612,13.88888888888889
2025-01,12,83,612,13.562091503267974
2025-01,13,65,612,10.620915032679738
2025-01,14,71,612,11.601307189542483
2025-01,15,69,612,11.27450980392157
2025-01,16,56,612,9.15032679738562
2025-01,17,63,612,10.294117647058822
2025-01,18,93,612,15.196078431372548
2025-01,19,78,612,12.745098039215685
2025-01,20,68,612,11.11111111111111
2025-01,21,60,612,9.803921568627452
2025-01,22,28,612,4.57516339869281
2025-01,23,11,612,1.7973856209150325
2025-02,0,414,414,100.0
2025-02,1,41,414,9.903381642512077
2025-02,2,50,414,12.077294685990339
2025-02,3,86,414,20.77294685990338
2025-02,4,61,414,14.734299516908212
2025-02,5,55,414,13.285024154589372
2025-02,6,49,414,11.83574879227053
2025-02,7,51,414,12.318840579710146
2025-02,8,47,414,11.352657004830919
2025-02,9,45,414,10.869565217391305
2025-02,10,57,414,13.768115942028986
2025-02,11,58,414,14.009661835748794
2025-02,12,46,414,11.11111111111111
2025-02,13,56,414,13.526570048309178
2025-02,14,56,414,13.526570048309178
2025-02,15,43,414,10.38647342995169
2025-02,16,47,414,11.352657004830919
2025-02,17,58,414,14.009661835748794
2025-02,18,56,414,13.526570048309178
2025-02,19,47,414,11.352657004830919
2025-02,20,43,414,10.38647342995169
2025-02,21,22,414,5.314009661835748
2025-02,22,10,414,2.4154589371980677
2025-03,0,313,313,100.0
2025-03,1,46,313,14.696485623003195
2025-03,2,71,313,22.683706070287542
2025-03,3,55,313,17.57188498402556
2025-03,4,44,313,14.057507987220447
2025-03,5,34,313,10.86261980830671
2025-03,6,42,313,13.418530351437699
2025-03,7,34,313,10.86261980830671
2025-03,8,34,313,10.86261980830671
2025-03,9,44,313,14.057507987220447
2025-03,10,43,313,13.738019169329075
2025-03,11,39,313,12.460063897763577
2025-03,12,42,313,13.418530351437699
2025-03,13,33,313,10.543130990415335
2025-03,14,35,313,11.182108626198083
2025-03,15,37,313,11.821086261980831
2025-03,16,43,313,13.738019169329075
2025-03,17,44,313,14.057507987220447
2025-03,18,39,313,12.460063897763577
2025-03,19,23,313,7.348242811501597
2025-03,20,22,313,7.0287539936102235
2025-03,21,6,313,1.9169329073482428
2025-04,0,404,404,100.0
2025-04,1,77,404,19.05940594059406
2025-04,2,81,404,20.049504950495052
2025-04,3,63,404,15.594059405940595
2025-04,4,66,404,16.33663366336634
2025-04,5,54,404,13.366336633663368
2025-04,6,43,404,10.643564356435643
2025-04,7,36,404,8.91089108910891
2025-04,8,51,404,12.623762376237623
2025-04,9,74,404,18.316831683168317
2025-04,10,33,404,8.16831683168317
2025-04,11,50,404,12.376237623762377
2025-04,12,40,404,9.900990099009901
2025-04,13,40,404,9.900990099009901
2025-04,14,37,404,9.158415841584159
2025-04,15,59,404,14.603960396039604
2025-04,16,51,404,12.623762376237623
2025-04,17,41,404,10.14851485148515
2025-04,18,42,404,10.396039603960396
2025-04,19,29,404,7.1782178217821775
2025-04,20,8,404,1.9801980198019802
2025-05,0,456,456,100.0
2025-05,1,87,456,19.078947368421055
2025-05,2,54,456,11.842105263157894
2025-05,3,63,456,13.815789473684212
2025-05,4,66,456,14.473684210526317
2025-05,5,50,456,10.964912280701753
2025-05,6,43,456,9.429824561403509
2025-05,7,70,456,15.350877192982457
2025-05,8,68,456,14.912280701754385
2025-05,9,51,456,11.18421052631579
2025-05,10,52,456,11.403508771929824
2025-05,11,54,456,11.842105263157894
2025-05,12,51,456,11.18421052631579
2025-05,13,70,456,15.350877192982457
2025-05,14,69,456,15.131578947368421
2025-05,15,63,456,13.815789473684212
2025-05,16,50,456,10.964912280701753
2025-05,17,54,456,11.842105263157894
2025-05,18,28,456,6.140350877192982
2025-05,19,8,456,1.7543859649122806
2025-06,0,364,364,100.0
2025-06,1,46,364,12.637362637362637
2025-06,2,42,364,11.538461538461538
2025-06,3,46,364,12.637362637362637
2025-06,4,51,364,14.010989010989011
2025-06,5,39,364,10.714285714285714
2025-06,6,45,364,12.362637362637363
2025-06,7,55,364,15.10989010989011
2025-06,8,49,364,13.461538461538462
2025-06,9,49,364,13.461538461538462
2025-06,10,45,364,12.362637362637363
2025-06,11,36,364,9.89010989010989
2025-06,12,50,364,13.736263736263737
2025-06,13,51,364,14.010989010989011
2025-06,14,54,364,14.835164835164836
2025-06,15,35,364,9.615384615384617
2025-06,16,41,364,11.263736263736265
2025-06,17,19,364,5.21978021978022
2025-06,18,4,364,1.098901098901099
2025-07,0,262,262,100.0
2025-07,1,37,262,14.122137404580155
2025-07,2,34,262,12.977099236641221
2025-07,3,27,262,10.305343511450381
2025-07,4,27,262,10.305343511450381
2025-07,5,38,262,14.50381679389313
2025-07,6,40,262,15.267175572519085
2025-07,7,25,262,9.541984732824428
2025-07,8,27,262,10.305343511450381
2025-07,9,44,262,16.793893129770993
2025-07,10,24,262,9.16030534351145
2025-07,11,30,262,11.450381679389313
2025-07,12,23,262,8.778625954198473
2025-07,13,42,262,16.030534351145036
2025-07,14,31,262,11.83206106870229
2025-07,15,16,262,6.106870229007633
2025-07,16,25,262,9.541984732824428
2025-07,17,2,262,0.7633587786259541
2025-08,0,207,207,100.0
2025-08,1,27,207,13.043478260869565
2025-08,2,15,207,7.246376811594203
2025-08,3,28,207,13.526570048309178
2025-08,4,28,207,13.526570048309178
2025-08,5,29,207,14.009661835748794
2025-08,6,27,207,13.043478260869565
2025-08,7,15,207,7.246376811594203
2025-08,8,27,207,13.043478260869565
2025-08,9,25,207,12.077294685990339
2025-08,10,24,207,11.594202898550725
2025-08,11,32,207,15.458937198067632
2025-08,12,32,207,15.458937198067632
2025-08,13,19,207,9.178743961352657
2025-08,14,25,207,12.077294685990339
2025-08,15,14,207,6.763285024154589
2025-08,16,2,207,0.966183574879227
2025-09,0,143,143,100.0
2025-09,1,23,143,16.083916083916083
2025-09,2,18,143,12.587412587412588
2025-09,3,20,143,13.986013986013987
2025-09,4,22,143,15.384615384615385
2025-09,5,11,143,7.6923076923076925
2025-09,6,15,143,10.48951048951049
2025-09,7,15,143,10.48951048951049
2025-09,8,9,143,6.293706293706294
2025-09,9,16,143,11.188811188811188
2025-09,10,14,143,9.79020979020979
2025-09,11,23,143,16.083916083916083
2025-09,12,16,143,11.188811188811188
2025-09,13,14,143,9.79020979020979
2025-09,14,9,143,6.293706293706294
2025-09,15,2,143,1.3986013986013985
2025-10,0,122,122,100.0
2025-10,1,18,122,14.754098360655737
2025-10,2,18,122,14.754098360655737
2025-10,3,19,122,15.573770491803279
2025-10,4,16,122,13.114754098360656
2025-10,5,10,122,8.19672131147541
2025-10,6,9,122,7.377049180327869
2025-10,7,14,122,11.475409836065573
2025-10,8,8,122,6.557377049180328
2025-10,9,22,122,18.0327868852459
2025-10,10,19,122,15.573770491803279
2025-10,11,15,122,12.295081967213115
2025-10,12,9,122,7.377049180327869
2025-10,13,8,122,6.557377049180328
2025-10,14,2,122,1.639344262295082
2025-11,0,115,115,100.0
2025-11,1,13,115,11.304347826086957
2025-11,2,21,115,18.26086956521739
2025-11,3,13,115,11.304347826086957
2025-11,4,20,115,17.391304347826086
2025-11,5,19,115,16.52173913043478
2025-11,6,10,115,8.695652173913043
2025-11,7,16,115,13.91304347826087
2025-11,8,14,115,12.173913043478262
2025-11,9,26,115,22.608695652173914
2025-11,10,16,115,13.91304347826087
2025-11,11,15,115,13.043478260869565
2025-11,12,6,115,5.217391304347826
2025-12,0,128,128,100.0
2025-12,1,16,128,12.5
2025-12,2,11,128,8.59375
2025-12,3,15,128,11.71875
2025-12,4,20,128,15.625
2025-12,5,13,128,10.15625
2025-12,6,19,128,14.84375
2025-12,7,23,128,17.96875
2025-12,8,18,128,14.0625
2025-12,9,19,128,14.84375
2025-12,10,9,128,7.03125
2025-12,11,6,128,4.6875
2025-12,12,3,128,2.34375
2026-01,0,113,113,100.0
2026-01,1,12,113,10.619469026548673
2026-01,2,11,113,9.734513274336283
2026-01,3,11,113,9.734513274336283
2026-01,4,11,113,9.734513274336283
2026-01,5,22,113,19.469026548672566
2026-01,6,17,113,15.04424778761062
2026-01,7,15,113,13.274336283185843
2026-01,8,17,113,15.04424778761062
2026-01,9,10,113,8.849557522123893
2026-01,10,12,113,10.619469026548673
2026-01,11,2,113,1.7699115044247788
2026-02,0,69,69,100.0
2026-02,1,5,69,7.246376811594203
2026-02,2,7,69,10.144927536231885
2026-02,3,9,69,13.043478260869565
2026-02,4,3,69,4.3478260869565215
2026-02,5,13,69,18.84057971014493
2026-02,6,10,69,14.492753623188406
2026-02,7,8,69,11.594202898550725
2026-02,8,5,69,7.246376811594203
2026-02,9,5,69,7.246376811594203
2026-02,10,4,69,5.797101449275362
2026-03,0,77,77,100.0
2026-03,1,2,77,2.5974025974025974
2026-03,2,3,77,3.896103896103896
2026-03,3,12,77,15.584415584415584
2026-03,4,14,77,18.181818181818183
2026-03,5,15,77,19.480519480519483
2026-03,6,7,77,9.090909090909092
2026-03,7,13,77,16.883116883116884
2026-03,8,4,77,5.194805194805195
2026-04,0,70,70,100.0
2026-04,1,7,70,10.0
2026-04,2,7,70,10.0
2026-04,3,11,70,15.714285714285714
2026-04,4,12,70,17.142857142857142
2026-04,5,9,70,12.857142857142856
2026-04,6,4,70,5.714285714285714
2026-04,7,4,70,5.714285714285714
