customer_id,total_bookings,total_tickets,total_revenue,first_booking_date,last_booking_date,average_booking_value,average_ticket_price,lifetime_days,lifetime_months,purchase_frequency,historical_clv,monthly_revenue,projected_12_month_clv,customer_value_segment,revenue_rank,clv_rank
CUST04551,9,24,31796.49,2025-04-21,2026-08-17,3532.9433333333336,1395.2277777777776,483,16.1,0.5590062111801242,31796.49,1974.9372670807452,23699.247204968942,VIP,1,1
CUST00922,7,22,31639.43,2025-03-23,2026-05-21,4519.918571428571,1497.032857142857,424,14.133333333333333,0.49528301886792453,31639.43,2238.6389150943396,26863.666981132075,VIP,2,2
CUST00996,8,26,28304.39,2025-05-22,2026-11-17,3538.04875,1081.78375,544,18.133333333333333,0.4411764705882353,28304.39,1560.9038602941177,18730.84632352941,VIP,3,3
CUST00821,9,26,27505.06,2025-01-04,2026-10-12,3056.117777777778,974.7466666666666,646,21.533333333333335,0.41795665634674917,27505.06,1277.3247678018577,15327.897213622291,VIP,4,4
CUST02345,7,19,27237.489999999998,2025-02-06,2026-11-08,3891.0699999999997,1287.9714285714285,640,21.333333333333332,0.328125,27237.489999999998,1276.75734375,15321.088125,VIP,5,5
CUST04721,6,21,26829.19,2025-03-14,2026-05-19,4471.531666666667,1166.5616666666667,431,14.366666666666667,0.4176334106728538,26829.19,1867.4610208816705,22409.532250580047,VIP,6,6
CUST02328,8,23,26691.14,2025-01-26,2026-10-06,3336.3925,1082.8425,618,20.6,0.3883495145631068,26691.14,1295.6864077669902,15548.236893203883,VIP,7,7
CUST01803,7,17,26268.68,2025-03-04,2026-01-29,3752.6685714285713,1290.2285714285715,331,11.033333333333333,0.6344410876132931,26268.68,2380.847129909366,28570.16555891239,VIP,8,8
CUST03385,8,24,26170.469999999998,2025-04-14,2026-11-15,3271.3087499999997,1148.29,580,19.333333333333332,0.4137931034482759,26170.469999999998,1353.645,16243.74,VIP,9,9
CUST01015,8,24,25952.4,2025-03-06,2026-10-11,3244.05,1010.98,584,19.466666666666665,0.4109589041095891,25952.4,1333.1712328767126,15998.05479452055,VIP,10,10
CUST00729,8,19,25622.309999999998,2025-05-01,2026-10-20,3202.7887499999997,1322.9,537,17.9,0.446927374301676,25622.309999999998,1431.413966480447,17176.967597765364,VIP,11,11
CUST01341,7,18,25426.04,2025-06-23,2026-06-14,3632.2914285714287,1284.3899999999999,356,11.866666666666667,0.5898876404494382,25426.04,2142.643820224719,25711.72584269663,VIP,12,12
CUST03648,10,24,25205.72,2025-02-12,2026-10-19,2520.572,1025.348,614,20.466666666666665,0.488599348534202,25205.72,1231.5498371335507,14778.598045602608,VIP,13,13
CUST02247,10,23,25095.72,2025-06-05,2026-12-24,2509.572,1162.801,567,18.9,0.5291005291005292,25095.72,1327.8158730158732,15933.79047619048,VIP,14,14
CUST03665,8,24,24960.07,2025-03-05,2026-12-10,3120.00875,1015.1949999999999,645,21.5,0.37209302325581395,24960.07,1160.933488372093,13931.201860465117,VIP,15,15
CUST04595,9,22,24740.51,2025-08-02,2026-10-15,2748.9455555555555,1088.72,439,14.633333333333333,0.6150341685649203,24740.51,1690.695444191344,20288.345330296128,VIP,16,16
CUST00223,6,17,24230.8,2025-07-25,2026-02-05,4038.4666666666667,1398.5166666666667,195,6.5,0.9230769230769231,24230.8,3727.8153846153846,44733.78461538462,VIP,17,17
CUST00879,8,20,24195.67,2025-04-04,2026-12-16,3024.45875,1097.4875,621,20.7,0.3864734299516908,24195.67,1168.8729468599033,14026.47536231884,VIP,18,18
CUST04354,7,22,24181.62,2025-01-23,2026-09-20,3454.5171428571425,1211.712857142857,605,20.166666666666668,0.3471074380165289,24181.62,1199.0885950413222,14389.063140495866,VIP,19,19
CUST04073,7,19,24118.35,2025-02-02,2026-05-12,3445.4785714285713,1108.5214285714285,464,15.466666666666667,0.4525862068965517,24118.35,1559.3760775862067,18712.512931034482,VIP,20,20
CUST01161,6,16,23965.92,2025-03-30,2026-10-09,3994.3199999999997,1491.1816666666666,558,18.6,0.3225806451612903,23965.92,1288.490322580645,15461.88387096774,VIP,21,21
CUST02950,8,18,23797.2,2024-12-07,2026-10-31,2974.65,1067.81625,693,23.1,0.3463203463203463,23797.2,1030.1818181818182,12362.18181818182,VIP,22,22
CUST03923,9,21,23788.420000000002,2025-04-02,2026-10-28,2643.157777777778,1096.048888888889,574,19.133333333333333,0.47038327526132406,23788.420000000002,1243.2972125435542,14919.56655052265,VIP,23,23
CUST03244,7,23,23761.260000000002,2025-02-10,2026-06-22,3394.4657142857145,958.0614285714286,497,16.566666666666666,0.4225352112676056,23761.260000000002,1434.2812877263582,17211.375452716296,VIP,24,24
CUST03110,5,17,23720.91,2025-02-26,2026-02-23,4744.182,1227.208,362,12.066666666666666,0.4143646408839779,23720.91,1965.821270718232,23589.855248618784,VIP,25,25
CUST02677,5,17,23666.21,2025-05-01,2026-04-24,4733.242,1291.398,358,11.933333333333334,0.41899441340782123,23666.21,1983.2019553072626,23798.42346368715,VIP,26,26
