travel_day,trips,total_capacity,seats_sold,available_seats,revenue,occupancy_percentage
2025-07-23,3,51,448,-397,590675.63,878.4313725490197
2026-09-07,3,52,414,-362,370760.49,796.1538461538462
2026-07-18,3,44,355,-311,249948.13999999998,806.8181818181819
2026-04-30,3,91,343,-252,551437.54,376.9230769230769
2026-04-20,2,90,342,-252,221847.26,380.0
2025-03-09,3,10,342,-332,396094.64,3420.0000000000005
2025-06-12,2,34,333,-299,524770.0,979.4117647058824
2025-03-10,2,45,314,-269,294964.19,697.7777777777778
2026-09-22,3,8,310,-302,293467.4,3875.0
2025-06-28,2,50,308,-258,641647.3200000001,616.0
2025-07-03,3,49,291,-242,270398.79000000004,593.8775510204082
2026-03-22,2,36,286,-250,136445.8,794.4444444444445
2025-04-25,2,49,284,-235,210609.45,579.5918367346939
2025-03-25,2,48,283,-235,435478.43,589.5833333333333
2026-02-09,2,41,276,-235,257291.25,673.170731707317
2025-12-15,2,31,248,-217,322951.37,800.0
2025-06-18,2,51,248,-197,158251.92,486.27450980392155
2025-01-18,2,48,245,-197,208868.44,510.4166666666667
2025-01-13,2,10,243,-233,172531.38,2430.0
2025-12-18,2,9,242,-233,250468.90000000002,2688.888888888889
2025-05-28,2,6,232,-226,165852.3,3866.6666666666665
2026-12-03,2,8,230,-222,165730.8,2875.0
2026-06-22,2,6,222,-216,179054.15,3700.0
2025-06-01,2,6,219,-213,190393.81999999998,3650.0
2026-09-24,2,31,218,-187,187729.42,703.2258064516129
2025-07-28,2,46,216,-170,206095.66999999998,469.5652173913044
2026-07-21,2,9,213,-204,280031.7,2366.666666666667
2026-10-13,1,45,211,-166,170848.36,468.8888888888889
2026-03-23,2,46,208,-162,266758.14,452.17391304347825
2025-08-29,2,5,206,-201,313420.93,4120.0
2025-06-08,1,40,201,-161,185289.79,502.50000000000006
2025-05-03,1,30,201,-171,250440.51,670.0
2025-10-09,1,50,201,-151,203086.26,401.99999999999994
2026-05-16,2,51,199,-148,99519.83,390.19607843137254
2025-09-08,1,40,197,-157,260151.98,492.5
2025-06-29,1,30,193,-163,184016.99,643.3333333333334
2026-08-14,2,51,191,-140,78583.21,374.5098039215686
2025-01-21,1,50,190,-140,230821.0,380.0
2025-02-15,1,50,189,-139,178297.28,378.0
2025-04-21,1,45,187,-142,120247.75,415.5555555555556
2025-02-13,1,45,186,-141,115801.02,413.33333333333337
2026-02-27,2,31,186,-155,194017.98,600.0
2026-06-28,1,50,186,-136,163499.87,372.0
2026-01-16,1,40,183,-143,152319.13,457.5
2025-10-08,2,5,182,-177,187630.83,3640.0
2026-03-29,1,50,182,-132,246174.45,364.0
2025-05-30,2,6,181,-175,146984.91,3016.666666666667
2026-01-17,1,45,180,-135,64135.82,400.0
2026-11-06,1,30,178,-148,164851.95,593.3333333333334
2026-08-31,1,30,178,-148,199211.04,593.3333333333334
2025-06-14,1,4,177,-173,183356.31,4425.0
2025-06-25,1,50,176,-126,183357.29,352.0
2026-12-08,1,40,176,-136,73437.53,440.00000000000006
2025-01-24,1,40,174,-134,142506.72,434.99999999999994
2025-10-12,1,45,174,-129,216727.88999999998,386.6666666666667
2025-03-30,1,40,173,-133,181198.36,432.5
2025-05-25,1,50,169,-119,191190.67,338.0
2025-11-04,1,5,169,-164,144189.86,3379.9999999999995
2026-03-20,1,40,168,-128,72247.28,420.0
2026-03-19,1,6,167,-161,75629.72,2783.333333333333
2025-09-21,1,4,166,-162,160580.09,4150.0
2025-05-29,1,40,166,-126,67704.21,415.00000000000006
2026-01-22,2,4,165,-161,174376.83,4125.0
2025-09-09,1,30,164,-134,296065.33,546.6666666666666
2025-09-07,2,4,164,-160,105619.04999999999,4100.0
2026-08-28,1,6,164,-158,297438.91,2733.333333333333
2025-05-11,1,30,163,-133,68697.16,543.3333333333334
2026-12-16,1,50,162,-112,101766.19,324.0
2026-07-20,1,45,159,-114,130305.58,353.3333333333333
2025-03-07,1,6,159,-153,67135.67,2650.0
2026-01-18,1,40,158,-118,181145.88,395.0
2025-02-28,1,5,158,-153,177179.84,3160.0
2025-08-24,1,45,158,-113,73194.24,351.1111111111111
2026-09-27,1,50,158,-108,157074.86,316.0
2026-10-09,2,4,158,-154,164566.47999999998,3950.0
2026-07-16,2,5,157,-152,194959.81,3140.0
2025-12-05,1,30,157,-127,67341.95,523.3333333333334
2025-04-14,1,6,157,-151,250464.98,2616.666666666667
2025-06-05,1,4,156,-152,223245.26,3900.0
2025-03-15,1,50,155,-105,261750.35,310.0
2026-08-18,1,40,155,-115,132610.12,387.5
2026-07-29,1,4,152,-148,54631.48,3800.0
2025-06-11,1,6,152,-146,153052.51,2533.333333333333
2026-02-19,1,5,151,-146,212806.28,3020.0
2026-02-24,1,5,150,-145,159214.64,3000.0
2026-11-12,1,4,150,-146,142184.4,3750.0
2025-02-22,1,5,149,-144,63887.79,2980.0
2026-03-07,1,40,149,-109,211386.06,372.5
2025-05-19,1,4,148,-144,199692.78,3700.0
2025-11-13,1,4,148,-144,264025.04,3700.0
2026-03-10,1,5,147,-142,212042.89,2940.0
