booking_day,bookings,tickets_sold,revenue
2024-11-03,1,1,975.04
2024-11-04,1,3,3107.34
2024-11-08,2,2,1777.6
2024-11-09,2,2,1863.77
2024-11-10,1,1,1052.78
2024-11-11,2,2,2058.8199999999997
2024-11-12,3,4,4146.64
2024-11-13,3,5,4923.13
2024-11-14,5,7,7236.379999999999
2024-11-15,10,19,15715.89
2024-11-16,5,10,5716.700000000001
2024-11-17,6,13,13387.94
2024-11-18,5,10,10884.99
2024-11-19,6,15,10050.31
2024-11-20,7,18,19514.33
2024-11-21,11,15,14339.41
2024-11-22,10,23,20457.71
2024-11-23,10,25,25201.940000000002
2024-11-24,17,39,30838.87
2024-11-25,18,30,30618.81
2024-11-26,17,37,35762.14
2024-11-27,8,19,14418.109999999999
2024-11-28,11,33,36789.97
2024-11-29,15,36,31206.18
2024-11-30,10,19,13485.33
2024-12-01,18,34,31537.93
2024-12-02,14,22,21945.08
2024-12-03,8,21,21061.190000000002
2024-12-04,15,33,29061.77
2024-12-05,15,36,33878.32
2024-12-06,10,21,17057.62
2024-12-07,17,36,30163.27
2024-12-08,16,34,32249.08
2024-12-09,18,41,39927.020000000004
2024-12-10,18,33,29947.21
2024-12-11,19,30,28657.23
2024-12-12,16,30,25603.9
2024-12-13,19,35,28965.91
2024-12-14,21,44,30118.14
2024-12-15,26,51,47577.68
2024-12-16,12,21,17794.510000000002
2024-12-17,12,24,20694.8
2024-12-18,17,36,26071.36
2024-12-19,21,48,42887.869999999995
2024-12-20,21,43,39128.93
2024-12-21,18,39,31006.14
2024-12-22,16,31,28797.670000000002
2024-12-23,18,34,29376.699999999997
2024-12-24,23,55,46765.83
2024-12-25,17,44,42759.72
2024-12-26,24,59,56988.369999999995
2024-12-27,27,62,51335.44
2024-12-28,15,30,22087.57
2024-12-29,22,40,32642.440000000002
2024-12-30,27,58,58370.43
2024-12-31,22,53,47100.39
2025-01-01,19,41,36026.04
2025-01-02,19,49,41871.43
2025-01-03,19,42,39180.89
2025-01-04,11,32,29803.079999999998
2025-01-05,17,39,32070.6
2025-01-06,22,43,41612.71
2025-01-07,17,46,32351.68
2025-01-08,18,36,26832.59
2025-01-09,30,73,59819.61
2025-01-10,36,89,85504.88
2025-01-11,31,85,80465.87
2025-01-12,18,44,39710.9
2025-01-13,27,62,61455.67
2025-01-14,25,53,44545.549999999996
2025-01-15,24,54,50616.03
2025-01-16,23,46,41180.87
2025-01-17,20,46,45728.43
2025-01-18,26,54,47298.82
2025-01-19,30,65,56160.96
2025-01-20,34,71,62040.28
2025-01-21,29,65,53577.45
2025-01-22,17,36,27176.74
2025-01-23,24,51,39627.92
2025-01-24,28,56,51503.59
2025-01-25,21,39,32694.01
2025-01-26,22,53,53541.26
2025-01-27,29,59,43651.13
2025-01-28,20,47,40196.31
2025-01-29,35,76,78654.05
2025-01-30,27,60,46833.7
2025-01-31,19,47,46404.13
2025-02-01,20,55,51165.14
2025-02-02,27,58,66981.27
2025-02-03,17,44,40585.0
2025-02-04,21,61,61794.46
2025-02-05,29,74,79931.05
2025-02-06,18,39,40616.99
2025-02-07,25,63,62369.96
2025-02-08,16,44,48654.35
2025-02-09,14,34,24402.92
2025-02-10,29,58,55992.41
2025-02-11,22,50,43209.25
2025-02-12,28,60,46764.67
2025-02-13,28,64,60329.909999999996
2025-02-14,21,53,54832.71
2025-02-15,34,84,87590.88
2025-02-16,19,41,41786.51
2025-02-17,21,42,40345.86
2025-02-18,18,40,39232.33
2025-02-19,21,38,42606.39
2025-02-20,26,59,62947.84
2025-02-21,18,48,51785.44
2025-02-22,20,50,51177.74
2025-02-23,25,60,67799.53
2025-02-24,21,53,51705.28
2025-02-25,26,59,62436.880000000005
2025-02-26,11,26,25964.33
2025-02-27,25,63,74561.85
2025-02-28,19,45,37594.8
2025-03-01,17,37,39276.34
2025-03-02,18,50,48049.46
2025-03-03,20,45,39963.17
2025-03-04,19,39,36081.22
2025-03-05,22,58,56125.5
2025-03-06,26,56,55145.85
2025-03-07,21,51,49670.7
2025-03-08,22,44,37497.54
2025-03-09,23,57,63958.71
2025-03-10,16,47,50645.6
2025-03-11,22,48,45404.54
2025-03-12,20,49,54911.59
2025-03-13,15,39,39477.95
2025-03-14,19,54,52433.56
2025-03-15,9,25,23848.27
2025-03-16,12,29,27881.01
2025-03-17,14,36,31013.71
2025-03-18,20,45,49096.020000000004
2025-03-19,22,49,53118.77
2025-03-20,17,39,41902.06
2025-03-21,10,17,20708.54
2025-03-22,10,29,26577.28
2025-03-23,18,30,28772.47
2025-03-24,24,55,57353.94
2025-03-25,15,25,25221.3
2025-03-26,15,41,35570.17
2025-03-27,11,29,33953.14
2025-03-28,11,19,23542.06
2025-03-29,18,35,37227.15
2025-03-30,9,27,27445.36
2025-03-31,25,63,54345.41
2025-04-01,14,30,31853.03
2025-04-02,25,53,33291.74
2025-04-03,24,56,64402.84
2025-04-04,19,45,43759.05
2025-04-05,19,54,44422.02
2025-04-06,20,50,52039.909999999996
2025-04-07,21,57,45077.0
2025-04-08,18,55,57383.1
2025-04-09,25,56,50243.88
2025-04-10,23,51,44923.28
2025-04-11,22,48,45513.45
2025-04-12,23,71,65136.22
2025-04-13,18,35,40022.6
2025-04-14,17,45,44569.6
2025-04-15,22,53,52522.6
2025-04-16,28,64,67572.81999999999
2025-04-17,32,70,69271.05
2025-04-18,37,83,81797.28
2025-04-19,29,66,65284.56
2025-04-20,32,76,79291.58
2025-04-21,30,75,75737.09
2025-04-22,23,52,53630.37
2025-04-23,28,71,54222.35
2025-04-24,26,54,49459.87
2025-04-25,38,76,76190.3
2025-04-26,25,49,40308.2
2025-04-27,31,64,64541.59
2025-04-28,28,70,71585.98
2025-04-29,34,75,84758.33
2025-04-30,26,64,74888.06
2025-05-01,35,78,87105.62
2025-05-02,33,85,73684.99
2025-05-03,30,67,75827.86
2025-05-04,31,65,63968.44
2025-05-05,35,68,70903.3
2025-05-06,35,91,95893.52
2025-05-07,41,114,138356.65
2025-05-08,45,108,115681.02
2025-05-09,32,76,85998.20999999999
2025-05-10,23,50,43082.36
2025-05-11,26,62,57542.58
2025-05-12,24,47,45957.57
2025-05-13,29,61,65759.92
2025-05-14,36,77,89008.79
2025-05-15,36,77,80258.78
2025-05-16,32,83,85026.02
2025-05-17,35,86,82122.89
2025-05-18,19,44,53459.24
2025-05-19,30,77,76478.0
2025-05-20,36,85,86422.93
2025-05-21,24,53,62835.78
2025-05-22,38,85,92948.78
2025-05-23,34,83,83293.05
2025-05-24,40,96,116110.56
2025-05-25,43,105,112749.08
2025-05-26,42,84,87671.78
2025-05-27,26,77,75756.01
2025-05-28,37,90,108183.69
2025-05-29,41,98,116132.87000000001
2025-05-30,40,93,90278.95
2025-05-31,42,94,125054.71
2025-06-01,38,91,102190.59
2025-06-02,28,70,75614.76
