booking_month,bookings,tickets,revenue,confirmed_bookings,average_booking_value,confirmation_rate,booking_growth_percentage,demand_period
2024-11,229,465,425498.96,186,1858.0740611353713,81.22270742358079,,Off-Peak
2024-12,667,1377,1217021.0,562,1824.6191904047976,84.25787106446776,191.2663755458515,Normal
2025-01,917,2042,1800815.94,737,1963.8123664122136,80.37077426390404,37.48125937031483,Normal
2025-02,756,1780,1770181.18,619,2341.5094973544974,81.87830687830689,-17.557251908396942,Normal
2025-03,644,1495,1473577.29,540,2288.16349378882,83.85093167701864,-14.814814814814813,Normal
2025-04,944,2209,2141713.47,757,2268.7642690677967,80.1906779661017,46.58385093167703,Peak
2025-05,1307,3055,3279313.53,1050,2509.038661055853,80.33664881407803,38.45338983050848,Peak
2025-06,1171,2477,2765796.49,957,2361.9098975234842,81.72502134927413,-10.40550879877582,Peak
2025-07,897,1756,1925930.67,749,2147.0798996655517,83.5005574136009,-23.398804440649013,Normal
2025-08,920,1869,2036363.97,728,2213.4390978260867,79.13043478260869,2.564102564102555,Normal
2025-09,798,1679,1668614.28,661,2090.9953383458646,82.83208020050125,-13.260869565217392,Normal
2025-10,718,1543,1478100.48,593,2058.635766016713,82.59052924791087,-10.025062656641603,Normal
2025-11,732,1541,1571903.16,581,2147.40868852459,79.37158469945356,1.949860724233976,Normal
2025-12,905,1893,1958196.15,751,2163.7526519337016,82.98342541436465,23.633879781420774,Normal
2026-01,965,2002,2091978.6,784,2167.8534715025908,81.24352331606217,6.629834254143652,Peak
2026-02,691,1561,1641259.33,556,2375.1943994211288,80.4630969609262,-28.393782383419687,Normal
2026-03,784,1678,1745283.14,626,2226.1264540816323,79.8469387755102,13.458755426917502,Normal
2026-04,786,1406,1445948.0,649,1839.6284987277354,82.56997455470739,0.25510204081633514,Normal
2026-05,640,1162,1047823.16,522,1637.2236875,81.5625,-18.575063613231556,Normal
2026-06,740,1459,1400017.11,616,1891.9150135135137,83.24324324324324,15.625,Normal
2026-07,940,2046,2120196.09,764,2255.5277553191486,81.27659574468085,27.027027027027017,Peak
2026-08,940,2005,2109949.51,779,2244.627138297872,82.87234042553192,0.0,Peak
2026-09,773,1663,1703672.85,629,2203.9752263906857,81.37128072445019,-17.76595744680851,Normal
2026-10,636,1434,1383149.15,525,2174.7628144654086,82.54716981132076,-17.72315653298836,Normal
2026-11,388,899,794851.21,323,2048.585592783505,83.24742268041237,-38.9937106918239,Off-Peak
2026-12,112,269,215121.09,90,1920.7240178571428,80.35714285714286,-71.1340206185567,Off-Peak
