booking_month,total_bookings,cancelled_bookings,confirmed_bookings,booking_value,cancellation_rate
2024-11,229,34,186,425498.96,14.847161572052403
2024-12,667,76,562,1217021.0,11.394302848575713
2025-01,917,133,737,1800815.94,14.50381679389313
2025-02,756,97,619,1770181.18,12.83068783068783
2025-03,644,77,540,1473577.29,11.956521739130435
2025-04,944,129,757,2141713.47,13.665254237288135
2025-05,1307,188,1050,3279313.53,14.384085692425403
2025-06,1171,163,957,2765796.49,13.919726729291204
2025-07,897,110,749,1925930.67,12.263099219620958
2025-08,920,142,728,2036363.97,15.434782608695652
2025-09,798,103,661,1668614.28,12.907268170426065
2025-10,718,89,593,1478100.48,12.395543175487465
2025-11,732,109,581,1571903.16,14.89071038251366
2025-12,905,107,751,1958196.15,11.823204419889503
2026-01,965,134,784,2091978.6,13.8860103626943
2026-02,691,88,556,1641259.33,12.735166425470332
2026-03,784,113,626,1745283.14,14.41326530612245
2026-04,786,103,649,1445948.0,13.104325699745548
2026-05,640,86,522,1047823.16,13.4375
2026-06,740,97,616,1400017.11,13.108108108108107
2026-07,940,118,764,2120196.09,12.553191489361701
2026-08,940,122,779,2109949.51,12.978723404255318
2026-09,773,103,629,1703672.85,13.32470892626132
2026-10,636,73,525,1383149.15,11.477987421383649
2026-11,388,40,323,794851.21,10.309278350515463
2026-12,112,19,90,215121.09,16.964285714285715
