booking_month,customer_type,customers,bookings,revenue
2024-11,New,182,186,355530.13
2024-12,New,502,533,979703.53
2024-12,Returning,28,29,61855.99
2025-01,New,612,651,1326707.55
2025-01,Returning,81,86,141429.63
2025-02,New,414,444,1073038.7
2025-02,Returning,165,175,402127.05
2025-03,New,313,334,783117.73
2025-03,Returning,195,206,483100.66
2025-04,New,404,440,996121.49
2025-04,Returning,291,317,727578.26
2025-05,New,456,510,1222594.02
2025-05,Returning,495,540,1420959.93
2025-06,New,364,398,973101.16
2025-06,Returning,501,559,1301157.65
2025-07,New,262,283,547704.68
2025-07,Returning,438,466,1045769.45
2025-08,New,207,224,517112.84
2025-08,Returning,458,504,1083947.6
2025-09,New,143,148,327830.25
2025-09,Returning,489,513,1033871.74
2025-10,New,122,125,253133.48
2025-10,Returning,440,468,961452.36
2025-11,New,115,119,222521.55
2025-11,Returning,432,462,1048604.64
2025-12,New,128,143,316020.46
2025-12,Returning,562,608,1303662.15
2026-01,New,113,120,285491.62
2026-01,Returning,622,664,1432097.15
2026-02,New,69,76,202281.96
2026-02,Returning,464,480,1115487.56
2026-03,New,77,84,170034.24
2026-03,Returning,512,542,1207298.04
2026-04,New,70,75,113668.95
2026-04,Returning,540,574,1045553.99
2026-05,New,36,38,57356.11
2026-05,Returning,458,484,775594.49
2026-06,New,42,43,78443.24
2026-06,Returning,536,573,1078020.73
2026-07,New,49,57,127158.6
2026-07,Returning,658,707,1602964.04
2026-08,New,50,54,143059.13999999998
2026-08,Returning,667,725,1599724.08
2026-09,New,34,39,96771.72
2026-09,Returning,562,590,1319683.31
2026-10,New,23,23,47125.26
2026-10,Returning,486,502,1093173.42
2026-11,New,14,14,24451.29
2026-11,Returning,297,309,646545.18
2026-12,New,2,2,2908.75
2026-12,Returning,86,88,170040.72
