booking_month,bookings,tickets_sold,revenue,average_booking_value
2024-11,186,388,355530.13,1911.452311827957
2024-12,562,1178,1041559.52,1853.3087544483985
2025-01,737,1659,1468137.18,1992.0450203527814
2025-02,619,1465,1475165.75,2383.1433764135704
2025-03,540,1267,1266218.39,2344.84887037037
2025-04,757,1768,1723699.75,2277.0142007926024
2025-05,1050,2459,2643553.95,2517.6704285714286
2025-06,957,2039,2274258.81,2376.445987460815
2025-07,749,1464,1593474.1300000001,2127.468798397864
2025-08,728,1453,1601060.44,2199.258846153846
2025-09,661,1385,1361701.99,2060.0635249621787
2025-10,593,1305,1214585.84,2048.2054637436763
2025-11,581,1242,1271126.19,2187.8247676419965
2025-12,751,1560,1619682.61,2156.70121171771
2026-01,784,1631,1717588.77,2190.8020025510205
2026-02,556,1256,1317769.52,2370.0890647482015
2026-03,626,1322,1377332.28,2200.2113099041535
2026-04,649,1154,1159222.94,1786.1678582434513
2026-05,522,932,832950.6,1595.6908045977011
2026-06,616,1211,1156463.97,1877.3765746753247
2026-07,764,1661,1730122.64,2264.5584293193715
2026-08,779,1661,1742783.22,2237.20567394095
2026-09,629,1361,1416455.03,2251.915786963434
2026-10,525,1174,1140298.68,2171.9974857142856
2026-11,323,757,670996.47,2077.388452012384
2026-12,90,214,172949.47,1921.6607777777779
