travel_month_number,travel_month_name,bookings,tickets,revenue,average_booking_value
1,January,2038,4254,4039752.57,1982.2142149165848
2,February,1642,3470,3544028.23,2158.360676004872
3,March,1847,4447,4285479.6,2320.238007579859
4,April,1114,2305,2658984.66,2386.880305206463
5,May,1774,3541,3148944.88,1775.053483652762
6,June,1996,4698,5148921.48,2579.61997995992
7,July,2058,3994,3917064.23,1903.3353887269193
8,August,1525,3131,3455768.21,2266.0775147540985
9,September,1959,4178,4686927.27,2392.5100918836138
10,October,1549,3121,2995970.7,1934.132149774048
11,November,1302,2915,2820118.17,2165.9893778801843
12,December,1196,2711,2510315.81,2098.926262541806
