travel_month,bookings,tickets,revenue,confirmed_bookings,confirmation_rate
2025-01,1099,2273,1995008.64,913,83.07552320291174
2025-02,494,1201,1075408.13,410,82.99595141700405
2025-03,1194,2719,2682795.37,962,80.56951423785594
2025-04,341,816,726803.86,279,81.81818181818183
2025-05,964,2156,2057298.39,781,81.01659751037344
2025-06,1401,3510,3988264.44,1133,80.87080656673804
2025-07,1407,2685,2778550.13,1162,82.58706467661692
2025-08,592,1209,1335743.29,477,80.57432432432432
2025-09,888,1813,2161540.34,730,82.2072072072072
2025-10,880,1827,1775098.4,713,81.02272727272727
2025-11,644,1341,1131302.94,533,82.7639751552795
2025-12,712,1551,1621786.71,570,80.0561797752809
2026-01,939,1981,2044743.93,761,81.04366347177849
2026-02,1148,2269,2468620.1,939,81.79442508710801
2026-03,653,1728,1602684.23,528,80.85758039816233
2026-04,773,1489,1932180.8,609,78.78395860284606
2026-05,810,1385,1091646.49,677,83.58024691358025
2026-06,595,1188,1160657.04,485,81.5126050420168
2026-07,651,1309,1138514.1,537,82.48847926267281
2026-08,933,1922,2120024.92,770,82.52947481243301
2026-09,1071,2365,2525386.93,862,80.48552754435107
2026-10,669,1294,1220872.3,570,85.20179372197309
2026-11,658,1574,1688815.23,540,82.06686930091185
2026-12,484,1160,888529.1,393,81.19834710743802
