travel_day,bookings,tickets_sold,revenue,unique_customers
2025-07-23,182,448,590675.63,180
2026-09-07,144,414,370760.49,141
2026-07-18,171,355,249948.13999999998,168
2026-04-30,156,343,551437.54,156
2026-04-20,117,342,221847.26,114
2025-03-09,182,342,396094.64,178
2025-06-12,116,333,524770.0,114
2025-03-10,102,314,294964.19,101
2026-09-22,158,310,293467.4,158
2025-06-28,106,308,641647.32,106
2025-07-03,147,291,270398.79,146
2026-03-22,100,286,136445.8,98
2025-04-25,113,284,210609.45,113
2025-03-25,118,283,435478.43,117
2026-02-09,118,276,257291.25,117
2025-12-15,103,248,322951.37,100
2025-06-18,118,248,158251.92,117
2025-01-18,97,245,208868.44,97
2025-01-13,103,243,172531.38,102
2025-12-18,108,242,250468.9,107
2025-05-28,117,232,165852.3,113
2026-12-03,104,230,165730.8,101
2026-06-22,115,222,179054.15,113
2025-06-01,108,219,190393.82,106
2026-09-24,102,218,187729.41999999998,100
2025-07-28,106,216,206095.66999999998,104
2026-07-21,106,213,280031.7,104
2026-10-13,67,211,170848.36,66
2026-03-23,102,208,266758.14,99
2025-08-29,104,206,313420.93,103
2025-06-08,61,201,185289.79,61
2025-05-03,63,201,250440.51,63
2025-10-09,67,201,203086.26,67
2026-05-16,105,199,99519.83,104
2025-09-08,66,197,260151.98,66
2025-06-29,58,193,184016.99,58
2026-08-14,101,191,78583.20999999999,100
2025-01-21,60,190,230821.0,60
2025-02-15,65,189,178297.28,65
2025-04-21,56,187,120247.75,56
2025-02-13,59,186,115801.02,58
2026-02-27,102,186,194017.98,101
2026-06-28,59,186,163499.87,58
2026-01-16,63,183,152319.13,63
2025-10-08,99,182,187630.83,97
2026-03-29,59,182,246174.45,58
2025-05-30,97,181,146984.91,96
2026-01-17,64,180,64135.82,64
2026-11-06,55,178,164851.95,54
2026-08-31,59,178,199211.04,59
2025-06-14,71,177,183356.31,70
2025-06-25,61,176,183357.29,60
2026-12-08,58,176,73437.53,58
2025-01-24,58,174,142506.72,58
2025-10-12,58,174,216727.88999999998,58
2025-03-30,58,173,181198.36,58
2025-05-25,55,169,191190.67,54
2025-11-04,63,169,144189.86,62
2026-03-20,50,168,72247.28,49
2026-03-19,59,167,75629.72,59
2025-09-21,66,166,160580.09,66
2025-05-29,53,166,67704.21,52
2026-01-22,109,165,174376.83,107
2025-09-09,53,164,296065.33,51
2025-09-07,113,164,105619.05,112
2026-08-28,66,164,297438.91,66
2025-05-11,58,163,68697.16,58
2026-12-16,52,162,101766.19,52
2026-07-20,52,159,130305.58,51
2025-03-07,65,159,67135.67,64
2026-01-18,52,158,181145.88,52
2025-02-28,63,158,177179.84,63
2025-08-24,60,158,73194.24,60
2026-09-27,55,158,157074.86,55
2026-10-09,111,158,164566.48,110
2026-07-16,92,157,194959.81,92
2025-12-05,55,157,67341.95,55
2025-04-14,64,157,250464.98,64
2025-06-05,56,156,223245.26,56
2025-03-15,52,155,261750.35,52
2026-08-18,54,155,132610.12,54
2026-07-29,61,152,54631.48,60
2025-06-11,64,152,153052.51,64
2026-02-19,66,151,212806.28,66
2026-02-24,60,150,159214.64,60
2026-11-12,59,150,142184.4,59
2025-02-22,61,149,63887.79,61
2026-03-07,51,149,211386.06,51
2025-05-19,54,148,199692.78,54
2025-11-13,62,148,264025.04,62
2026-03-10,57,147,212042.89,57
2026-10-27,61,147,212402.82,61
2025-07-13,54,147,60632.21,54
2026-01-03,61,146,182292.89,61
2026-09-10,48,146,120026.1,48
2025-10-11,49,146,62719.41,48
2025-06-03,50,146,198176.59,49
2025-01-31,72,146,51761.83,72
2026-09-14,54,144,245611.64,54
2026-05-22,104,143,123682.15,103
2026-11-09,57,142,86974.85,56
2026-10-07,59,142,161705.81,59
2025-05-23,70,141,240686.72,69
2025-11-07,56,141,58867.3,56
2026-01-23,52,141,256243.82,52
2025-06-16,56,141,173484.07,55
2025-11-26,68,140,139561.12,68
2025-12-08,57,140,91455.19,57
2025-03-11,51,139,121054.65,51
2026-08-26,55,139,173926.76,55
2026-08-03,58,138,195968.91,58
2026-10-15,63,138,57892.75,63
2025-08-15,56,138,146801.76,56
2025-01-12,46,138,155780.45,45
2026-01-26,48,137,57630.15,48
2026-09-06,46,136,194592.52,46
2026-11-01,52,136,112284.72,51
2025-01-17,59,136,126867.19,57
2025-03-27,68,135,58406.48,68
2026-08-16,43,135,115489.28,43
2025-03-12,65,135,157248.83,64
2026-11-23,55,134,188503.28,53
2026-11-30,47,134,83716.91,47
2025-03-22,51,133,57108.89,51
2025-09-05,66,133,150726.01,66
2025-08-10,52,133,148007.45,52
2025-05-08,52,133,192643.63,52
2026-06-06,46,133,175377.61,46
2026-02-05,49,133,234546.37,48
2026-11-25,64,132,215001.25,64
2026-05-18,45,132,56358.98,44
2026-05-13,66,131,186910.23,66
2026-12-30,42,131,106234.8,42
2026-06-27,48,130,53851.55,48
2026-04-21,129,129,133127.95,127
2026-11-03,47,129,263063.62,47
2026-05-07,50,128,84012.85,50
2025-09-13,54,127,180724.6,54
2025-02-23,52,127,179479.27,52
2026-10-25,62,126,168169.68,62
2025-07-18,59,126,85211.79,59
2025-09-16,66,126,119477.8,66
2026-02-15,62,125,101515.94,62
