route_id,route,source,destination,total_bookings,cancelled_bookings,confirmed_bookings,total_booking_value,cancelled_value,cancellation_rate,cancelled_value_share
R002,Thanjavur → Coimbatore,Thanjavur,Coimbatore,725,114,578,1810466.05,294099.57,15.724137931034482,16.24441231582332
R004,Bengaluru → Madurai,Bengaluru,Madurai,718,112,575,2504519.95,385066.12,15.598885793871867,15.374847383427708
R007,Madurai → Erode,Madurai,Erode,495,73,395,2295753.04,323629.6400000001,14.747474747474747,14.096883870400974
R014,Coimbatore → Chennai,Coimbatore,Chennai,766,112,619,994708.95,127760.57,14.621409921671018,12.844015327297498
R029,Chennai → Coimbatore,Chennai,Coimbatore,582,85,459,512345.02,77404.22,14.604810996563575,15.107831047133043
R025,Vellore → Bengaluru,Vellore,Bengaluru,636,90,519,1558115.62,209340.66,14.150943396226415,13.435502302454294
R009,Chennai → Vellore,Chennai,Vellore,632,89,513,1291111.6,179890.99000000002,14.082278481012658,13.933031815375216
R013,Hyderabad → Erode,Hyderabad,Erode,591,83,485,609161.2,84440.23,14.04399323181049,13.861721659225834
R010,Hyderabad → Madurai,Hyderabad,Madurai,1020,141,830,1721741.34,236346.14,13.823529411764707,13.727157181461417
R017,Coimbatore → Tirunelveli,Coimbatore,Tirunelveli,738,102,601,1038307.87,146572.29999999996,13.821138211382115,14.116458541338028
R019,Thanjavur → Hyderabad,Thanjavur,Hyderabad,488,67,391,959777.63,121374.54999999999,13.729508196721312,12.646111578991478
R011,Bengaluru → Thanjavur,Bengaluru,Thanjavur,860,117,689,3150928.19,423425.25,13.604651162790699,13.438111707648915
R001,Pondicherry → Chennai,Pondicherry,Chennai,732,99,596,1617044.45,204668.53,13.524590163934427,12.656951390544647
R028,Bengaluru → Coimbatore,Bengaluru,Coimbatore,639,85,509,1208869.62,145529.87,13.302034428794993,12.03850833806213
R006,Trichy → Salem,Trichy,Salem,494,65,402,594773.85,85702.66,13.157894736842104,14.409285142579822
R027,Tirunelveli → Madurai,Tirunelveli,Madurai,1053,138,864,2689305.62,344861.73,13.105413105413104,12.823448827656858
R020,Trichy → Thanjavur,Trichy,Thanjavur,352,46,293,903142.35,100419.01000000001,13.068181818181818,11.11884632583114
R015,Tirunelveli → Coimbatore,Tirunelveli,Coimbatore,1079,140,880,1080569.51,144642.52000000002,12.974976830398516,13.385767288584704
R018,Trichy → Erode,Trichy,Erode,582,75,470,1850969.21,223639.27999999997,12.886597938144329,12.082279855967998
R008,Bengaluru → Erode,Bengaluru,Erode,1014,130,838,2002471.65,258643.74000000002,12.82051282051282,12.916224806478535
R016,Pondicherry → Tirunelveli,Pondicherry,Tirunelveli,621,79,504,1707880.68,211735.3,12.721417069243158,12.397546414073844
R005,Bengaluru → Trichy,Bengaluru,Trichy,755,94,626,1835876.76,213260.22999999995,12.450331125827814,11.616260668826156
R003,Pondicherry → Erode,Pondicherry,Erode,397,49,327,1234820.17,147334.2,12.34256926952141,11.931632117735818
R022,Bengaluru → Chennai,Bengaluru,Chennai,418,51,350,704827.95,81064.89,12.200956937799043,11.501372781825694
R026,Vellore → Pondicherry,Vellore,Pondicherry,807,97,674,3204559.0,416421.83,12.01982651796778,12.994668845229562
R012,Hyderabad → Pondicherry,Hyderabad,Pondicherry,351,42,292,813547.16,94789.68000000001,11.965811965811966,11.651405678805393
R030,Thanjavur → Pondicherry,Thanjavur,Pondicherry,887,106,729,710379.17,84985.84,11.950394588500563,11.963447633184401
R023,Erode → Bengaluru,Erode,Bengaluru,513,60,434,1031951.18,123501.4,11.695906432748536,11.967756071561446
R021,Thanjavur → Trichy,Thanjavur,Trichy,545,58,452,453059.29,44416.67,10.642201834862385,9.80372127453782
R024,Madurai → Thanjavur,Madurai,Thanjavur,510,54,440,1121291.73,107331.54000000001,10.588235294117647,9.57213338227332
