route_id,route,source,destination,trips,total_capacity,seats_sold,available_seats,revenue,occupancy_percentage,revenue_per_seat
R003,Pondicherry → Erode,Pondicherry,Erode,6,18,638,-620,1031084.4,3544.4444444444443,1616.119749216301
R016,Pondicherry → Tirunelveli,Pondicherry,Tirunelveli,9,29,974,-945,1386118.1400000001,3358.620689655172,1423.1192402464067
R005,Bengaluru → Trichy,Bengaluru,Trichy,12,102,1345,-1243,1534763.23,1318.627450980392,1141.087903345725
R026,Vellore → Pondicherry,Vellore,Pondicherry,12,111,1461,-1350,2635760.66,1316.2162162162163,1804.0798494182068
R006,Trichy → Salem,Trichy,Salem,7,56,727,-671,478375.19,1298.2142857142858,658.0126409903714
R029,Chennai → Coimbatore,Chennai,Coimbatore,9,69,879,-810,402260.1,1273.913043478261,457.6337883959044
R019,Thanjavur → Hyderabad,Thanjavur,Hyderabad,7,67,772,-705,779101.2,1152.2388059701493,1009.1984455958549
R024,Madurai → Thanjavur,Madurai,Thanjavur,8,62,681,-619,979928.41,1098.3870967741937,1438.955080763583
R023,Erode → Bengaluru,Erode,Bengaluru,7,86,941,-855,874626.43,1094.186046511628,929.4648565356005
R021,Thanjavur → Trichy,Thanjavur,Trichy,8,96,1036,-940,371637.11,1079.1666666666665,358.7230791505791
R030,Thanjavur → Pondicherry,Thanjavur,Pondicherry,13,135,1418,-1283,581798.45,1050.3703703703702,410.29509873060647
R025,Vellore → Bengaluru,Vellore,Bengaluru,10,111,1155,-1044,1291005.14,1040.5405405405406,1117.753367965368
R012,Hyderabad → Pondicherry,Hyderabad,Pondicherry,5,67,688,-621,682215.83,1026.865671641791,991.5927761627906
R028,Bengaluru → Coimbatore,Bengaluru,Coimbatore,10,112,1130,-1018,968527.6,1008.9285714285713,857.1040707964602
R027,Tirunelveli → Madurai,Tirunelveli,Madurai,15,184,1781,-1597,2206095.71,967.9347826086957,1238.683722627737
R011,Bengaluru → Thanjavur,Bengaluru,Thanjavur,12,154,1474,-1320,2500687.69,957.1428571428571,1696.5316757123474
R010,Hyderabad → Madurai,Hyderabad,Madurai,15,181,1700,-1519,1397250.92,939.2265193370166,821.9123058823529
R008,Bengaluru → Erode,Bengaluru,Erode,16,214,1918,-1704,1661850.35,896.2616822429906,866.4496089676747
R004,Bengaluru → Madurai,Bengaluru,Madurai,11,162,1405,-1243,1991413.33,867.2839506172841,1417.3760355871887
R002,Thanjavur → Coimbatore,Thanjavur,Coimbatore,11,163,1373,-1210,1441823.62,842.3312883435583,1050.1264530225783
R001,Pondicherry → Chennai,Pondicherry,Chennai,11,144,1188,-1044,1333530.35,825.0,1122.5002946127947
R017,Coimbatore → Tirunelveli,Coimbatore,Tirunelveli,11,160,1293,-1133,842114.37,808.1250000000001,651.2872157772622
R009,Chennai → Vellore,Chennai,Vellore,9,139,1113,-974,1050953.54,800.7194244604317,944.2529559748428
R014,Coimbatore → Chennai,Coimbatore,Chennai,12,166,1316,-1150,818615.01,792.7710843373494,622.0478799392097
R018,Trichy → Erode,Trichy,Erode,9,153,1120,-967,1511854.15,732.0261437908497,1349.8697767857143
R007,Madurai → Erode,Madurai,Erode,8,136,893,-757,1849284.85,656.6176470588235,2070.867693169093
R020,Trichy → Thanjavur,Trichy,Thanjavur,5,90,575,-485,763647.55,638.8888888888889,1328.082695652174
R015,Tirunelveli → Coimbatore,Tirunelveli,Coimbatore,16,323,2058,-1735,875165.47,637.1517027863777,425.2504713313897
R022,Bengaluru → Chennai,Bengaluru,Chennai,7,131,738,-607,601360.27,563.3587786259542,814.8513143631436
R013,Hyderabad → Erode,Hyderabad,Erode,9,220,1176,-956,501839.2,534.5454545454546,426.7340136054422
