route_id,route,source,destination,bookings,tickets_sold,revenue,unique_customers,average_booking_value,average_tickets_per_booking,average_distance_km,revenue_per_ticket,revenue_per_customer,demand_rank,revenue_rank,demand_category,revenue_share
R001,Pondicherry → Chennai,Pondicherry,Chennai,596,1188,1333530.35,571,2237.4670302013424,1.9932885906040267,384.0,1122.5002946127947,2335.429684763573,13,12,Moderate Demand,3.7729300080767127
R002,Thanjavur → Coimbatore,Thanjavur,Coimbatore,578,1373,1441823.6199999999,549,2494.504532871972,2.375432525951557,370.0,1050.1264530225783,2626.272531876138,9,9,High Demand,4.079321930882034
R003,Pondicherry → Erode,Pondicherry,Erode,327,638,1031084.4,320,3153.1633027522935,1.9510703363914372,537.0,1616.119749216301,3222.13875,29,15,Low Demand,2.917225898622984
R004,Bengaluru → Madurai,Bengaluru,Madurai,575,1405,1991413.33,545,3463.3275304347826,2.4434782608695653,618.0,1417.3760355871887,3653.969412844037,8,4,High Demand,5.634264800378165
R005,Bengaluru → Trichy,Bengaluru,Trichy,626,1345,1534763.23,580,2451.698450479233,2.148562300319489,389.0,1141.087903345725,2646.1435,10,7,High Demand,4.342274059049156
R006,Trichy → Salem,Trichy,Salem,402,727,478375.19,394,1189.9880348258707,1.808457711442786,180.0,658.0126409903714,1214.1502284263959,26,28,Low Demand,1.3534570918992574
R007,Madurai → Erode,Madurai,Erode,395,893,1849284.85,390,4681.733797468355,2.260759493670886,636.0,2070.867693169093,4741.756025641026,22,5,Low Demand,5.232143613414305
R008,Bengaluru → Erode,Bengaluru,Erode,838,1918,1661850.35,767,1983.1149761336517,2.288782816229117,284.0,866.4496089676747,2166.688852672751,2,6,High Demand,4.7018390353453805
R009,Chennai → Vellore,Chennai,Vellore,513,1113,1050953.54,478,2048.6423781676413,2.1695906432748537,292.0,944.2529559748428,2198.6475732217573,18,14,Moderate Demand,2.9734412480079286
R010,Hyderabad → Madurai,Hyderabad,Madurai,830,1700,1397250.92,757,1683.4348433734938,2.0481927710843375,305.0,821.9123058823529,1845.7740026420079,4,10,High Demand,3.953213306979323
R011,Bengaluru → Thanjavur,Bengaluru,Thanjavur,689,1474,2500687.69,645,3629.445123367199,2.13933236574746,531.0,1696.5316757123474,3877.0351782945736,5,2,High Demand,7.075144278815277
R012,Hyderabad → Pondicherry,Hyderabad,Pondicherry,292,688,682215.83,276,2336.3555821917807,2.356164383561644,370.0,991.5927761627906,2471.7964855072464,27,24,Low Demand,1.9301792246362903
R013,Hyderabad → Erode,Hyderabad,Erode,485,1176,501839.2,462,1034.72,2.424742268041237,147.0,426.7340136054422,1086.2320346320346,14,27,Moderate Demand,1.4198433330814038
R014,Coimbatore → Chennai,Coimbatore,Chennai,619,1316,818615.01,574,1322.4798222940226,2.126009693053312,201.0,622.0478799392097,1426.1585540069686,11,21,Moderate Demand,2.316090620877896
R015,Tirunelveli → Coimbatore,Tirunelveli,Coimbatore,880,2058,875165.47,811,994.5062159090909,2.338636363636364,133.0,425.2504713313897,1079.1189519112206,1,18,High Demand,2.4760876749416014
R016,Pondicherry → Tirunelveli,Pondicherry,Tirunelveli,504,974,1386118.14,474,2750.2344047619044,1.9325396825396826,523.0,1423.1192402464064,2924.2998734177213,20,11,Moderate Demand,3.9217155613634724
R017,Coimbatore → Tirunelveli,Coimbatore,Tirunelveli,601,1293,842114.37,574,1401.1886356073212,2.151414309484193,322.0,651.2872157772622,1467.098205574913,12,20,Moderate Demand,2.382576877088411
R018,Trichy → Erode,Trichy,Erode,470,1120,1511854.15,442,3216.710957446808,2.382978723404255,448.0,1349.8697767857143,3420.484502262443,17,8,Moderate Demand,4.277457869909231
R019,Thanjavur → Hyderabad,Thanjavur,Hyderabad,391,772,779101.2,374,1992.5861892583118,1.9744245524296675,332.0,1009.1984455958549,2083.1582887700533,24,22,Low Demand,2.204295010464948
R020,Trichy → Thanjavur,Trichy,Thanjavur,293,575,763647.55,285,2606.3056313993175,1.9624573378839592,422.0,1328.082695652174,2679.4650877192985,30,23,Low Demand,2.160572316175078
R021,Thanjavur → Trichy,Thanjavur,Trichy,452,1036,371637.11,433,822.2059955752212,2.2920353982300883,110.0,358.7230791505791,858.2843187066974,19,30,Moderate Demand,1.0514652361934667
R022,Bengaluru → Chennai,Bengaluru,Chennai,350,738,601360.27,341,1718.1722,2.1085714285714285,278.0,814.8513143631436,1763.519853372434,25,25,Low Demand,1.7014162507423354
R023,Erode → Bengaluru,Erode,Bengaluru,434,941,874626.43,412,2015.2682718894011,2.1682027649769586,385.0,929.4648565356005,2122.8796844660196,21,19,Low Demand,2.4745625801497555
R024,Madurai → Thanjavur,Madurai,Thanjavur,440,681,979928.41,424,2227.1100227272727,1.5477272727272726,544.0,1438.955080763583,2311.1519103773585,28,16,Low Demand,2.7724913076450792
R025,Vellore → Bengaluru,Vellore,Bengaluru,519,1155,1291005.14,489,2487.485818882466,2.2254335260115607,329.0,1117.753367965368,2640.0923108384454,15,13,Moderate Demand,3.652614305544135
R026,Vellore → Pondicherry,Vellore,Pondicherry,674,1461,2635760.66,632,3910.62412462908,2.1676557863501484,546.0,1804.0798494182068,4170.507373417722,6,1,High Demand,7.45730345636459
R027,Tirunelveli → Madurai,Tirunelveli,Madurai,864,1781,2206095.71,788,2553.351516203704,2.0613425925925926,599.0,1238.683722627737,2799.613845177665,3,3,High Demand,6.241661245241476
R028,Bengaluru → Coimbatore,Bengaluru,Coimbatore,509,1130,968527.6,474,1902.8047151277012,2.2200392927308448,242.0,857.1040707964602,2043.3071729957805,16,17,Moderate Demand,2.7402352302596777
R029,Chennai → Coimbatore,Chennai,Coimbatore,459,879,402260.1,437,876.3836601307189,1.9150326797385622,173.0,457.6337883959044,920.503661327231,23,29,Low Demand,1.138106232334299
R030,Thanjavur → Pondicherry,Thanjavur,Pondicherry,729,1418,581798.45,675,798.0774348422495,1.9451303155006858,112.0,410.29509873060647,861.9236296296295,7,26,High Demand,1.6460703955163216
