route,bookings,tickets_sold,revenue,average_ticket_price,average_base_fare,average_price_premium
Coimbatore → Tirunelveli,601,1293,842114.37,652.1660898502496,615.32,5.988118353092624
Chennai → Vellore,513,1113,1050953.54,946.7816374269006,894.23,5.876747305156454
Hyderabad → Pondicherry,292,688,682215.83,993.4567465753424,938.5799999999999,5.846784139374632
Bengaluru → Thanjavur,689,1474,2500687.69,1695.9854862119014,1605.83,5.614260924998374
Thanjavur → Hyderabad,391,772,779101.2,1005.5249616368287,952.53,5.563600268425001
Bengaluru → Madurai,575,1405,1991413.33,1415.9421739130435,1342.88,5.440707577225318
Coimbatore → Chennai,619,1316,818615.01,621.3090953150243,589.52,5.392369269070473
Hyderabad → Madurai,830,1700,1397250.92,822.811951807229,781.03,5.349596277637088
Tirunelveli → Coimbatore,880,2058,875165.47,426.54886363636365,405.08,5.299907089059854
Erode → Bengaluru,434,941,874626.43,929.980529953917,883.19,5.297900786231389
Tirunelveli → Madurai,864,1781,2206095.71,1240.3159027777776,1178.25,5.26763443902209
Bengaluru → Coimbatore,509,1130,968527.6,852.5072888015718,810.65,5.1634230310950135
Trichy → Thanjavur,293,575,763647.55,1334.6818088737202,1269.64,5.122854421231218
Hyderabad → Erode,485,1176,501839.2,425.7379587628866,405.2,5.0685979177903775
Pondicherry → Tirunelveli,504,974,1386118.14,1423.5367658730158,1357.24,4.884675213891122
Thanjavur → Pondicherry,729,1418,581798.45,410.64654320987654,391.56,4.874487488475978
Pondicherry → Erode,327,638,1031084.4,1613.2694801223242,1539.27,4.807439898284523
Pondicherry → Chennai,596,1188,1333530.35,1123.3075167785234,1072.45,4.742180687073845
Chennai → Coimbatore,459,879,402260.1,456.84337690631804,436.21,4.730147613836937
Madurai → Thanjavur,440,681,979928.41,1439.5032045454545,1374.49,4.729987453197516
Vellore → Pondicherry,674,1461,2635760.66,1807.1963056379823,1725.95,4.7073383144344945
Vellore → Bengaluru,519,1155,1291005.14,1115.6382273603083,1065.62,4.693814620625401
Madurai → Erode,395,893,1849284.85,2072.7323037974684,1980.4600000000003,4.6591349382198235
Thanjavur → Trichy,452,1036,371637.11,359.00856194690266,343.17,4.615369043594324
Trichy → Erode,470,1120,1511854.15,1353.0935531914893,1294.44,4.531191340772018
Bengaluru → Trichy,626,1345,1534763.23,1140.2011022364218,1090.98,4.511641114999514
Thanjavur → Coimbatore,578,1373,1441823.6199999999,1052.1171972318339,1006.8000000000001,4.501112160492049
Bengaluru → Erode,838,1918,1661850.35,864.8314319809069,827.65,4.492410074416353
Trichy → Salem,402,727,478375.19,658.8582338308458,630.68,4.4679130194148895
Bengaluru → Chennai,350,738,601360.27,815.5970285714286,780.99,4.431174351967191
