route_id,route,source,destination,bookings,tickets_sold,revenue,average_ticket_price,average_booking_value,base_fare,distance_km,revenue_per_ticket,price_premium_percentage,revenue_rank
R026,Vellore → Pondicherry,Vellore,Pondicherry,674,1461,2635760.66,1807.1963056379823,3910.62412462908,1725.95,546.0,1804.0798494182068,4.526773627173831,1
R011,Bengaluru → Thanjavur,Bengaluru,Thanjavur,689,1474,2500687.69,1695.9854862119014,3629.445123367199,1605.83,531.0,1696.5316757123474,5.648273834238209,2
R027,Tirunelveli → Madurai,Tirunelveli,Madurai,864,1781,2206095.71,1240.3159027777776,2553.351516203704,1178.25,599.0,1238.683722627737,5.129108646529777,3
R004,Bengaluru → Madurai,Bengaluru,Madurai,575,1405,1991413.33,1415.9421739130435,3463.3275304347826,1342.88,618.0,1417.3760355871887,5.547482692957565,4
R007,Madurai → Erode,Madurai,Erode,395,893,1849284.85,2072.7323037974684,4681.733797468355,1980.4600000000003,636.0,2070.867693169093,4.564984557582211,5
R008,Bengaluru → Erode,Bengaluru,Erode,838,1918,1661850.35,864.8314319809069,1983.1149761336517,827.65,284.0,866.4496089676747,4.687924722729991,6
R005,Bengaluru → Trichy,Bengaluru,Trichy,626,1345,1534763.23,1140.2011022364218,2451.698450479233,1090.98,389.0,1141.087903345725,4.592925933172463,7
R018,Trichy → Erode,Trichy,Erode,470,1120,1511854.15,1353.0935531914893,3216.710957446808,1294.44,448.0,1349.8697767857143,4.282143381362924,8
R002,Thanjavur → Coimbatore,Thanjavur,Coimbatore,578,1373,1441823.6199999999,1052.1171972318339,2494.504532871972,1006.8000000000001,370.0,1050.1264530225783,4.3033823026001405,9
R010,Hyderabad → Madurai,Hyderabad,Madurai,830,1700,1397250.92,822.811951807229,1683.4348433734938,781.03,305.0,821.9123058823529,5.234409162561357,10
R016,Pondicherry → Tirunelveli,Pondicherry,Tirunelveli,504,974,1386118.14,1423.5367658730158,2750.2344047619044,1357.24,523.0,1423.1192402464064,4.853912369691906,11
R001,Pondicherry → Chennai,Pondicherry,Chennai,596,1188,1333530.35,1123.3075167785234,2237.4670302013424,1072.45,384.0,1122.5002946127947,4.666911708032513,12
R025,Vellore → Bengaluru,Vellore,Bengaluru,519,1155,1291005.14,1115.6382273603083,2487.485818882466,1065.62,329.0,1117.753367965368,4.892303819876509,13
R009,Chennai → Vellore,Chennai,Vellore,513,1113,1050953.54,946.7816374269006,2048.6423781676413,894.23,292.0,944.2529559748428,5.593969781246752,14
R003,Pondicherry → Erode,Pondicherry,Erode,327,638,1031084.4,1613.2694801223242,3153.1633027522935,1539.27,537.0,1616.119749216301,4.9926100824612325,15
R024,Madurai → Thanjavur,Madurai,Thanjavur,440,681,979928.41,1439.5032045454545,2227.1100227272727,1374.49,544.0,1438.955080763583,4.690109114186574,16
R028,Bengaluru → Coimbatore,Bengaluru,Coimbatore,509,1130,968527.6,852.5072888015718,1902.8047151277012,810.65,242.0,857.1040707964602,5.730471941831889,17
R015,Tirunelveli → Coimbatore,Tirunelveli,Coimbatore,880,2058,875165.47,426.54886363636365,994.5062159090909,405.08,133.0,425.2504713313897,4.979379710523775,18
R023,Erode → Bengaluru,Erode,Bengaluru,434,941,874626.43,929.980529953917,2015.2682718894011,883.19,385.0,929.4648565356005,5.239513189189235,19
R017,Coimbatore → Tirunelveli,Coimbatore,Tirunelveli,601,1293,842114.37,652.1660898502496,1401.1886356073212,615.32,322.0,651.2872157772622,5.845286318868578,20
R014,Coimbatore → Chennai,Coimbatore,Chennai,619,1316,818615.01,621.3090953150243,1322.4798222940226,589.52,201.0,622.0478799392097,5.517688956983596,21
R019,Thanjavur → Hyderabad,Thanjavur,Hyderabad,391,772,779101.2,1005.5249616368287,1992.5861892583118,952.53,332.0,1009.1984455958549,5.94925572904317,22
R020,Trichy → Thanjavur,Trichy,Thanjavur,293,575,763647.55,1334.6818088737202,2606.3056313993175,1269.64,422.0,1328.082695652174,4.603091872670507,23
R012,Hyderabad → Pondicherry,Hyderabad,Pondicherry,292,688,682215.83,993.4567465753424,2336.3555821917807,938.5799999999999,370.0,991.5927761627906,5.648189409830884,24
R022,Bengaluru → Chennai,Bengaluru,Chennai,350,738,601360.27,815.5970285714286,1718.1722,780.99,278.0,814.8513143631436,4.335691156499265,25
R030,Thanjavur → Pondicherry,Thanjavur,Pondicherry,729,1418,581798.45,410.64654320987654,798.0774348422495,391.56,112.0,410.29509873060647,4.784732539229356,26
R013,Hyderabad → Erode,Hyderabad,Erode,485,1176,501839.2,425.7379587628866,1034.72,405.2,147.0,426.7340136054422,5.3144159934457615,27
R006,Trichy → Salem,Trichy,Salem,402,727,478375.19,658.8582338308458,1189.9880348258707,630.68,180.0,658.0126409903714,4.333836650975374,28
R029,Chennai → Coimbatore,Chennai,Coimbatore,459,879,402260.1,456.84337690631804,876.3836601307189,436.21,173.0,457.6337883959044,4.911347377617297,29
R021,Thanjavur → Trichy,Thanjavur,Trichy,452,1036,371637.11,359.00856194690266,822.2059955752212,343.17,110.0,358.7230791505791,4.532179138788091,30
