route_id,route_name,source,destination,travel_season,bookings,tickets,revenue
R027,Tirunelveli To Madurai,Tirunelveli,Madurai,Winter,512,1120,1384297.94
R005,Bengaluru To Trichy,Bengaluru,Trichy,Monsoon,495,945,1076987.46
R015,Tirunelveli To Coimbatore,Tirunelveli,Coimbatore,Summer,487,1244,531138.61
R006,Trichy To Salem,Trichy,Salem,Summer,428,763,499694.56
R010,Hyderabad To Madurai,Hyderabad,Madurai,Winter,415,905,740559.68
R030,Thanjavur To Pondicherry,Thanjavur,Pondicherry,Monsoon,409,805,330671.92
R001,Pondicherry To Chennai,Pondicherry,Chennai,Monsoon,406,798,889515.1
R011,Bengaluru To Thanjavur,Bengaluru,Thanjavur,Monsoon,369,890,1505928.29
R017,Coimbatore To Tirunelveli,Coimbatore,Tirunelveli,Summer,333,732,474266.13
R027,Tirunelveli To Madurai,Tirunelveli,Madurai,Monsoon,332,540,670548.91
R008,Bengaluru To Erode,Bengaluru,Erode,Monsoon,323,900,779001.0
R004,Bengaluru To Madurai,Bengaluru,Madurai,Summer,310,747,1056097.4
R024,Madurai To Thanjavur,Madurai,Thanjavur,Monsoon,308,415,599838.1
R011,Bengaluru To Thanjavur,Bengaluru,Thanjavur,Summer,307,639,1084689.52
R008,Bengaluru To Erode,Bengaluru,Erode,Summer,301,585,509521.73
R009,Chennai To Vellore,Chennai,Vellore,Monsoon,296,709,669486.31
R002,Thanjavur To Coimbatore,Thanjavur,Coimbatore,Monsoon,296,728,765821.86
R023,Erode To Bengaluru,Erode,Bengaluru,Monsoon,292,664,617073.35
R021,Thanjavur To Trichy,Thanjavur,Trichy,Winter,277,666,238389.16
R026,Vellore To Pondicherry,Vellore,Pondicherry,Summer,274,556,1005360.08
R004,Bengaluru To Madurai,Bengaluru,Madurai,Monsoon,271,673,955750.25
R026,Vellore To Pondicherry,Vellore,Pondicherry,Monsoon,271,562,1017061.26
R018,Trichy To Erode,Trichy,Erode,Summer,268,657,883606.0
R008,Bengaluru To Erode,Bengaluru,Erode,Winter,266,530,462822.95
R013,Hyderabad To Erode,Hyderabad,Erode,Winter,266,653,276054.89
R029,Chennai To Coimbatore,Chennai,Coimbatore,Monsoon,262,516,236550.93
R014,Coimbatore To Chennai,Coimbatore,Chennai,Monsoon,261,371,229976.26
R025,Vellore To Bengaluru,Vellore,Bengaluru,Monsoon,260,523,584657.42
R016,Pondicherry To Tirunelveli,Pondicherry,Tirunelveli,Winter,259,419,594146.41
R018,Trichy To Erode,Trichy,Erode,Monsoon,256,604,820278.8
R007,Madurai To Erode,Madurai,Erode,Monsoon,256,581,1206194.67
R015,Tirunelveli To Coimbatore,Tirunelveli,Coimbatore,Monsoon,240,572,241063.14
R022,Bengaluru To Chennai,Bengaluru,Chennai,Monsoon,233,409,336346.25
R028,Bengaluru To Coimbatore,Bengaluru,Coimbatore,Autumn,233,449,380308.44
R016,Pondicherry To Tirunelveli,Pondicherry,Tirunelveli,Monsoon,218,433,614508.1
R012,Hyderabad To Pondicherry,Hyderabad,Pondicherry,Monsoon,213,524,521638.62
R010,Hyderabad To Madurai,Hyderabad,Madurai,Summer,209,284,232702.77
R010,Hyderabad To Madurai,Hyderabad,Madurai,Monsoon,207,543,445296.13
R009,Chennai To Vellore,Chennai,Vellore,Winter,201,411,386850.23
R015,Tirunelveli To Coimbatore,Tirunelveli,Coimbatore,Winter,201,489,208456.42
R025,Vellore To Bengaluru,Vellore,Bengaluru,Winter,198,367,409537.95
R003,Pondicherry To Erode,Pondicherry,Erode,Monsoon,195,376,612939.29
R001,Pondicherry To Chennai,Pondicherry,Chennai,Winter,195,370,420283.03
R014,Coimbatore To Chennai,Coimbatore,Chennai,Winter,193,532,331393.43
R014,Coimbatore To Chennai,Coimbatore,Chennai,Summer,190,368,229327.6
R010,Hyderabad To Madurai,Hyderabad,Madurai,Autumn,189,368,303182.76
R002,Thanjavur To Coimbatore,Thanjavur,Coimbatore,Winter,188,444,465571.27
R029,Chennai To Coimbatore,Chennai,Coimbatore,Autumn,186,279,127957.19
R030,Thanjavur To Pondicherry,Thanjavur,Pondicherry,Autumn,185,327,135557.72
R026,Vellore To Pondicherry,Vellore,Pondicherry,Winter,180,458,822162.63
R023,Erode To Bengaluru,Erode,Bengaluru,Winter,158,244,226995.32
R030,Thanjavur To Pondicherry,Thanjavur,Pondicherry,Summer,151,300,123083.54
R015,Tirunelveli To Coimbatore,Tirunelveli,Coimbatore,Autumn,151,237,99911.34
R019,Thanjavur To Hyderabad,Thanjavur,Hyderabad,Winter,149,300,304964.11
R017,Coimbatore To Tirunelveli,Coimbatore,Tirunelveli,Winter,146,316,204779.48
R019,Thanjavur To Hyderabad,Thanjavur,Hyderabad,Autumn,144,297,301823.65
R020,Trichy To Thanjavur,Trichy,Thanjavur,Monsoon,143,404,534458.21
R027,Tirunelveli To Madurai,Tirunelveli,Madurai,Autumn,142,297,366901.52
R030,Thanjavur To Pondicherry,Thanjavur,Pondicherry,Winter,142,294,121065.99
R013,Hyderabad To Erode,Hyderabad,Erode,Monsoon,140,369,158954.83
R028,Bengaluru To Coimbatore,Bengaluru,Coimbatore,Winter,138,396,341456.62
R028,Bengaluru To Coimbatore,Bengaluru,Coimbatore,Monsoon,138,213,180020.75
R021,Thanjavur To Trichy,Thanjavur,Trichy,Monsoon,137,236,85077.11
R004,Bengaluru To Madurai,Bengaluru,Madurai,Winter,137,350,492672.3
R020,Trichy To Thanjavur,Trichy,Thanjavur,Autumn,136,202,270271.76
R029,Chennai To Coimbatore,Chennai,Coimbatore,Summer,134,328,147836.9
R017,Coimbatore To Tirunelveli,Coimbatore,Tirunelveli,Monsoon,132,363,235856.29
R001,Pondicherry To Chennai,Pondicherry,Chennai,Summer,131,272,307246.32
R002,Thanjavur To Coimbatore,Thanjavur,Coimbatore,Summer,130,319,333008.14
R028,Bengaluru To Coimbatore,Bengaluru,Coimbatore,Summer,130,358,307083.81
R013,Hyderabad To Erode,Hyderabad,Erode,Summer,128,241,104089.28
R017,Coimbatore To Tirunelveli,Coimbatore,Tirunelveli,Autumn,127,187,123405.97
R011,Bengaluru To Thanjavur,Bengaluru,Thanjavur,Winter,126,175,296112.83
R008,Bengaluru To Erode,Bengaluru,Erode,Autumn,124,294,251125.97
R014,Coimbatore To Chennai,Coimbatore,Chennai,Autumn,122,332,204011.66
R007,Madurai To Erode,Madurai,Erode,Winter,119,208,435285.38
R025,Vellore To Bengaluru,Vellore,Bengaluru,Autumn,115,288,319703.49
R005,Bengaluru To Trichy,Bengaluru,Trichy,Winter,114,339,386261.25
R019,Thanjavur To Hyderabad,Thanjavur,Hyderabad,Monsoon,113,194,192101.29
R002,Thanjavur To Coimbatore,Thanjavur,Coimbatore,Autumn,111,234,246064.78
R019,Thanjavur To Hyderabad,Thanjavur,Hyderabad,Summer,82,160,160888.58
R026,Vellore To Pondicherry,Vellore,Pondicherry,Autumn,82,200,359975.03
R022,Bengaluru To Chennai,Bengaluru,Chennai,Autumn,78,244,198733.81
R003,Pondicherry To Erode,Pondicherry,Erode,Autumn,77,160,261170.94
R012,Hyderabad To Pondicherry,Hyderabad,Pondicherry,Autumn,76,154,152997.27
R016,Pondicherry To Tirunelveli,Pondicherry,Tirunelveli,Summer,75,189,273267.37
R021,Thanjavur To Trichy,Thanjavur,Trichy,Summer,74,226,81665.06999999999
R020,Trichy To Thanjavur,Trichy,Thanjavur,Winter,73,73,98412.38
