route,vehicle_type,bookings,tickets_sold,revenue,average_booking_value
Tirunelveli → Coimbatore,BUS,346,1009,430742.87,1244.9215895953757
Bengaluru → Madurai,CAB,376,926,1317244.64,3503.310212765957
Bengaluru → Erode,CAB,326,817,707810.76,2171.1986503067483
Hyderabad → Erode,BUS,261,789,337822.32,1294.3383908045978
Tirunelveli → Madurai,BUS,246,775,959753.16,3901.4356097560976
Vellore → Pondicherry,CAB,282,704,1266358.74,4490.633829787234
Hyderabad → Madurai,BUS,234,693,572774.3099999999,2447.753461538461
Pondicherry → Tirunelveli,CAB,278,690,982471.92,3534.071654676259
Hyderabad → Madurai,AUTO,330,657,535460.86,1622.6086666666665
Bengaluru → Erode,BUS,204,608,528094.12,2588.6966666666667
Thanjavur → Coimbatore,CAB,231,582,610086.17,2641.065670995671
Tirunelveli → Coimbatore,CAB,237,576,242767.76,1024.3365400843882
Bengaluru → Trichy,AUTO,285,576,659091.33,2312.601157894737
Tirunelveli → Madurai,CAB,230,561,693981.67,3017.3116086956525
Coimbatore → Tirunelveli,BUS,170,545,352340.12,2072.5889411764706
Bengaluru → Thanjavur,BUS,171,532,898172.08,5252.468304093567
Chennai → Vellore,BUS,173,526,492997.76,2849.698034682081
Thanjavur → Pondicherry,BUS,170,499,203217.35,1195.3961764705882
Pondicherry → Chennai,BUS,162,495,558598.54,3448.1391358024694
Bengaluru → Chennai,BUS,157,488,397109.26,2529.358343949045
Trichy → Erode,BUS,160,486,652873.98,4080.462375
Coimbatore → Chennai,BUS,158,482,301284.12,1906.8615189873417
Thanjavur → Coimbatore,BUS,166,473,496178.32,2989.0260240963858
Bengaluru → Coimbatore,CAB,185,450,387104.54,2092.456972972973
Bengaluru → Madurai,BUS,144,424,596314.22,4141.070972222222
Thanjavur → Pondicherry,AUTO,213,421,172917.72,811.8202816901409
Bengaluru → Thanjavur,CAB,160,420,717456.0,4484.1
Madurai → Erode,CAB,148,392,811631.26,5483.995
Vellore → Bengaluru,CAB,157,392,436121.47,2777.8437579617835
Madurai → Erode,BUS,135,389,806519.63,5974.219481481481
Coimbatore → Chennai,CAB,158,382,236446.36000000002,1496.4959493670888
Bengaluru → Erode,AUTO,195,380,328677.11,1685.523641025641
Erode → Bengaluru,BUS,116,379,350141.74,3018.4632758620687
Bengaluru → Trichy,CAB,146,376,428251.85,2933.2318493150683
Thanjavur → Trichy,CAB,151,375,134411.83,890.1445695364238
Coimbatore → Tirunelveli,CAB,150,364,238936.36,1592.9090666666666
Thanjavur → Hyderabad,AUTO,183,364,368981.12,2016.2902732240436
Thanjavur → Trichy,BUS,123,358,129295.07,1051.179430894309
Bengaluru → Coimbatore,BUS,116,357,307569.8,2651.463793103448
Vellore → Bengaluru,BUS,107,357,403286.29,3769.030747663551
Tirunelveli → Coimbatore,AUTO,174,350,149557.22,859.5242528735632
Pondicherry → Chennai,AUTO,171,349,390521.37,2283.750701754386
Bengaluru → Thanjavur,AUTO,171,335,566445.11,3312.5445029239763
Hyderabad → Erode,AUTO,170,333,141473.36000000002,832.1962352941177
Vellore → Pondicherry,BUS,110,332,601339.59,5466.723545454545
Trichy → Thanjavur,BUS,112,330,435529.59,3888.6570535714286
Tirunelveli → Madurai,BIKE,327,327,405571.26,1240.2790825688073
Trichy → Erode,AUTO,159,319,432827.57,2722.1859748427673
Vellore → Pondicherry,AUTO,174,317,574192.56,3299.9572413793107
Chennai → Vellore,CAB,125,316,302764.49,2422.1159199999997
Pondicherry → Erode,CAB,121,316,510955.41,4222.771983471074
Erode → Bengaluru,CAB,123,307,285357.74,2319.98162601626
Vellore → Bengaluru,AUTO,154,305,340180.68,2208.9654545454546
Coimbatore → Chennai,AUTO,149,298,184926.05,1241.1144295302013
Bengaluru → Trichy,BUS,98,296,336926.33,3438.0237755102044
Chennai → Coimbatore,CAB,113,292,132825.52,1175.4470796460175
Thanjavur → Coimbatore,AUTO,146,283,298585.48,2045.10602739726
Chennai → Coimbatore,AUTO,138,281,128736.94,932.8763768115942
Hyderabad → Pondicherry,CAB,114,270,267860.46,2349.653157894737
Thanjavur → Pondicherry,CAB,115,267,110685.22,962.4801739130435
Madurai → Thanjavur,BIKE,267,267,386022.84,1445.7784269662923
Trichy → Erode,CAB,99,263,355546.58,3591.379595959596
Trichy → Salem,CAB,106,261,169940.59,1603.2131132075472
Hyderabad → Pondicherry,AUTO,123,260,257280.51,2091.711463414634
Thanjavur → Trichy,AUTO,124,249,88364.73,712.6187903225806
Thanjavur → Pondicherry,BIKE,231,231,94978.16,411.1608658008658
Pondicherry → Erode,AUTO,112,228,368249.36,3287.940714285714
Bengaluru → Coimbatore,AUTO,108,223,189964.43,1758.9299074074074
Coimbatore → Tirunelveli,AUTO,115,218,141722.66,1232.3709565217391
Hyderabad → Madurai,BIKE,214,214,176731.03,825.8459345794392
Pondicherry → Chennai,BIKE,211,211,236402.99,1120.393317535545
Thanjavur → Hyderabad,BUS,67,201,203086.26,3031.138208955224
Bengaluru → Thanjavur,BIKE,187,187,318614.5,1703.8208556149732
Trichy → Salem,BIKE,184,184,121364.46,659.5894565217392
Pondicherry → Tirunelveli,BIKE,171,171,242694.17,1419.2641520467837
Coimbatore → Tirunelveli,BIKE,166,166,109115.23,657.3206626506023
Chennai → Vellore,BIKE,160,160,151317.27,945.7329374999999
Chennai → Coimbatore,BUS,60,158,73194.24,1219.904
Hyderabad → Pondicherry,BUS,55,158,157074.86,2855.9065454545453
Trichy → Salem,BUS,53,156,101858.35,1921.8556603773586
Coimbatore → Chennai,BIKE,154,154,95958.48,623.1070129870129
Chennai → Coimbatore,BIKE,148,148,67503.4,456.104054054054
Madurai → Thanjavur,CAB,61,147,212402.82,3482.013442622951
Bengaluru → Chennai,BIKE,145,145,118122.53,814.6381379310345
Madurai → Thanjavur,BUS,46,136,194592.52,4230.272173913043
Hyderabad → Madurai,CAB,52,136,112284.72,2159.3215384615387
Pondicherry → Chennai,CAB,52,133,148007.45,2846.2971153846156
Madurai → Thanjavur,AUTO,66,131,186910.23,2831.973181818182
Erode → Bengaluru,BIKE,129,129,119649.15,927.5127906976744
Trichy → Salem,AUTO,59,126,85211.79,1444.267627118644
Trichy → Thanjavur,AUTO,62,126,168169.68,2712.414193548387
Erode → Bengaluru,AUTO,66,126,119477.8,1810.269696969697
Tirunelveli → Coimbatore,BIKE,123,123,52097.62,423.5578861788618
Trichy → Thanjavur,BIKE,119,119,159948.28,1344.103193277311
Tirunelveli → Madurai,AUTO,61,118,146789.62,2406.387213114754
Thanjavur → Hyderabad,CAB,48,114,113384.42,2362.1754166666665
Bengaluru → Erode,BIKE,113,113,97268.36,860.7819469026549
Pondicherry → Tirunelveli,AUTO,55,113,160952.05,2926.400909090909
Madurai → Erode,BIKE,112,112,231133.96,2063.6960714285715
Chennai → Vellore,AUTO,55,111,103874.02,1888.6185454545455
Vellore → Pondicherry,BIKE,108,108,193869.77,1795.0904629629629
Bengaluru → Chennai,AUTO,48,105,86128.48,1794.3433333333332
Vellore → Bengaluru,BIKE,101,101,111416.7,1103.1356435643563
Bengaluru → Coimbatore,BIKE,100,100,83888.83,838.8883000000001
Bengaluru → Trichy,BIKE,97,97,110493.72,1139.1105154639176
Pondicherry → Erode,BIKE,94,94,151879.63,1615.740744680851
Thanjavur → Hyderabad,BIKE,93,93,93649.4,1006.9827956989246
Bengaluru → Madurai,BIKE,55,55,77854.47,1415.5358181818183
Hyderabad → Erode,BIKE,54,54,22543.52,417.4725925925926
Thanjavur → Trichy,BIKE,54,54,19565.48,362.3237037037037
Trichy → Erode,BIKE,52,52,70606.02,1357.808076923077
Thanjavur → Coimbatore,BIKE,35,35,36973.65,1056.39
