source,destination,bookings,tickets_sold,revenue,customers,average_booking_value
Tirunelveli,Coimbatore,880,2058,875165.47,811,994.5062159090909
Bengaluru,Erode,838,1918,1661850.35,767,1983.1149761336517
Tirunelveli,Madurai,864,1781,2206095.71,788,2553.351516203704
Hyderabad,Madurai,830,1700,1397250.92,757,1683.4348433734938
Bengaluru,Thanjavur,689,1474,2500687.69,645,3629.445123367199
Vellore,Pondicherry,674,1461,2635760.66,632,3910.62412462908
Thanjavur,Pondicherry,729,1418,581798.45,675,798.0774348422495
Bengaluru,Madurai,575,1405,1991413.33,545,3463.3275304347826
Thanjavur,Coimbatore,578,1373,1441823.6199999999,549,2494.504532871972
Bengaluru,Trichy,626,1345,1534763.23,580,2451.698450479233
Coimbatore,Chennai,619,1316,818615.01,574,1322.4798222940226
Coimbatore,Tirunelveli,601,1293,842114.37,574,1401.1886356073212
Pondicherry,Chennai,596,1188,1333530.35,571,2237.4670302013424
Hyderabad,Erode,485,1176,501839.2,462,1034.72
Vellore,Bengaluru,519,1155,1291005.14,489,2487.485818882466
Bengaluru,Coimbatore,509,1130,968527.6,474,1902.8047151277012
Trichy,Erode,470,1120,1511854.15,442,3216.710957446808
Chennai,Vellore,513,1113,1050953.54,478,2048.6423781676413
Thanjavur,Trichy,452,1036,371637.11,433,822.2059955752212
Pondicherry,Tirunelveli,504,974,1386118.14,474,2750.2344047619044
Erode,Bengaluru,434,941,874626.43,412,2015.2682718894011
Madurai,Erode,395,893,1849284.85,390,4681.733797468355
Chennai,Coimbatore,459,879,402260.1,437,876.3836601307189
Thanjavur,Hyderabad,391,772,779101.2,374,1992.5861892583118
Bengaluru,Chennai,350,738,601360.27,341,1718.1722
Trichy,Salem,402,727,478375.19,394,1189.9880348258707
Hyderabad,Pondicherry,292,688,682215.83,276,2336.3555821917807
Madurai,Thanjavur,440,681,979928.41,424,2227.1100227272727
Pondicherry,Erode,327,638,1031084.4,320,3153.1633027522935
Trichy,Thanjavur,293,575,763647.55,285,2606.3056313993175
