trip_id,route_id,operator_id,vehicle_type,departure_datetime,arrival_datetime,total_seats,bookings,seats_sold,revenue,unique_customers,route_name,source,destination,distance_km,route,available_seats,occupancy_percentage,revenue_per_seat,occupancy_category
TRIP00001,R028,OP006,AUTO,2025-07-19 21:30:00,2025-07-20 02:13:33.743605,3,61,125,105941.62,60,Bengaluru To Coimbatore,Bengaluru,Coimbatore,242,Bengaluru → Coimbatore,-122,100.0,847.53296,Very High
TRIP00002,R016,OP003,CAB,2026-03-10 05:30:00,2026-03-10 15:39:01.699616,5,57,147,212042.89,57,Pondicherry To Tirunelveli,Pondicherry,Tirunelveli,523,Pondicherry → Tirunelveli,-142,100.0,1442.4686394557823,Very High
TRIP00003,R019,OP015,AUTO,2025-01-26 05:45:00,2025-01-26 12:49:07.252819,3,59,122,124351.69,59,Thanjavur To Hyderabad,Thanjavur,Hyderabad,332,Thanjavur → Hyderabad,-119,100.0,1019.2761475409836,Very High
TRIP00004,R018,OP005,AUTO,2025-06-01 19:45:00,2025-06-02 03:21:30.555825,3,55,108,144590.33,54,Trichy To Erode,Trichy,Erode,448,Trichy → Erode,-105,100.0,1338.7993518518517,Very High
TRIP00005,R029,OP003,CAB,2025-11-18 08:30:00,2025-11-18 11:34:02.831042,6,54,125,57195.8,54,Chennai To Coimbatore,Chennai,Coimbatore,173,Chennai → Coimbatore,-119,100.0,457.56640000000004,Very High
TRIP00006,R011,OP008,CAB,2026-09-14 19:30:00,2026-09-15 06:19:14.586288,5,54,144,245611.64,54,Bengaluru To Thanjavur,Bengaluru,Thanjavur,531,Bengaluru → Thanjavur,-139,100.0,1705.636388888889,Very High
TRIP00007,R015,OP008,AUTO,2025-01-18 08:00:00,2025-01-18 09:59:39.116603,3,49,97,40671.61,49,Tirunelveli To Coimbatore,Tirunelveli,Coimbatore,133,Tirunelveli → Coimbatore,-94,100.0,419.29494845360824,Very High
TRIP00008,R002,OP005,AUTO,2026-01-13 09:30:00,2026-01-13 15:07:24.666057,3,45,85,88184.43000000001,45,Thanjavur To Coimbatore,Thanjavur,Coimbatore,370,Thanjavur → Coimbatore,-82,100.0,1037.4638823529413,Very High
TRIP00009,R005,OP003,AUTO,2026-07-18 05:45:00,2026-07-18 12:06:37.989447,3,58,119,134097.4,57,Bengaluru To Trichy,Bengaluru,Trichy,389,Bengaluru → Trichy,-116,100.0,1126.8689075630252,Very High
TRIP00010,R011,OP008,BIKE,2025-07-02 15:00:00,2025-07-02 23:41:31.268452,1,60,60,101119.7,60,Bengaluru To Thanjavur,Bengaluru,Thanjavur,531,Bengaluru → Thanjavur,-59,100.0,1685.3283333333334,Very High
TRIP00011,R016,OP007,CAB,2026-08-03 06:00:00,2026-08-03 14:17:32.820841,5,58,138,195968.91,58,Pondicherry To Tirunelveli,Pondicherry,Tirunelveli,523,Pondicherry → Tirunelveli,-133,100.0,1420.0645652173914,Very High
TRIP00012,R015,OP002,CAB,2025-03-07 07:15:00,2025-03-07 09:58:33.637597,6,65,159,67135.67,64,Tirunelveli To Coimbatore,Tirunelveli,Coimbatore,133,Tirunelveli → Coimbatore,-153,100.0,422.2369182389937,Very High
TRIP00013,R001,OP018,BIKE,2025-08-29 07:30:00,2025-08-29 13:02:25.753479,1,47,47,52930.5,46,Pondicherry To Chennai,Pondicherry,Chennai,384,Pondicherry → Chennai,-46,100.0,1126.1808510638298,Very High
TRIP00014,R026,OP016,AUTO,2025-03-25 18:30:00,2025-03-26 03:03:42.658582,3,67,125,226955.49,66,Vellore To Pondicherry,Vellore,Pondicherry,546,Vellore → Pondicherry,-122,100.0,1815.64392,Very High
TRIP00015,R010,OP018,AUTO,2026-02-15 22:00:00,2026-02-16 03:14:52.928232,3,62,125,101515.94,62,Hyderabad To Madurai,Hyderabad,Madurai,305,Hyderabad → Madurai,-122,100.0,812.12752,Very High
TRIP00016,R011,OP016,AUTO,2026-12-13 09:00:00,2026-12-13 17:07:27.647062,3,40,75,127595.42,39,Bengaluru To Thanjavur,Bengaluru,Thanjavur,531,Bengaluru → Thanjavur,-72,100.0,1701.2722666666666,Very High
TRIP00017,R011,OP013,BUS,2025-06-12 08:30:00,2025-06-12 18:58:35.371918,30,60,189,318292.43,60,Bengaluru To Thanjavur,Bengaluru,Thanjavur,531,Bengaluru → Thanjavur,-159,100.0,1684.0869312169311,Very High
TRIP00018,R016,OP019,CAB,2025-02-23 12:45:00,2025-02-24 00:06:17.231464,4,52,127,179479.27,52,Pondicherry To Tirunelveli,Pondicherry,Tirunelveli,523,Pondicherry → Tirunelveli,-123,100.0,1413.2225984251968,Very High
TRIP00019,R013,OP012,AUTO,2025-06-06 09:30:00,2025-06-06 12:16:11.029683,3,57,112,47553.34,57,Hyderabad To Erode,Hyderabad,Erode,147,Hyderabad → Erode,-109,100.0,424.5833928571428,Very High
TRIP00020,R008,OP010,AUTO,2025-01-20 21:30:00,2025-01-21 02:27:21.162891,3,63,120,103747.33,62,Bengaluru To Erode,Bengaluru,Erode,284,Bengaluru → Erode,-117,100.0,864.5610833333334,Very High
TRIP00021,R030,OP005,BUS,2026-07-18 07:00:00,2026-07-18 09:14:23.498441,40,63,186,74880.93,62,Thanjavur To Pondicherry,Thanjavur,Pondicherry,112,Thanjavur → Pondicherry,-146,100.0,402.5856451612903,Very High
TRIP00022,R029,OP012,BUS,2025-08-24 20:00:00,2025-08-24 23:13:10.310797,45,60,158,73194.24,60,Chennai To Coimbatore,Chennai,Coimbatore,173,Chennai → Coimbatore,-113,100.0,463.2546835443038,Very High
TRIP00023,R020,OP015,BUS,2026-06-06 10:45:00,2026-06-06 19:08:11.104040,45,46,133,175377.61,46,Trichy To Thanjavur,Trichy,Thanjavur,422,Trichy → Thanjavur,-88,100.0,1318.6286466165413,Very High
TRIP00024,R018,OP003,CAB,2025-09-30 22:30:00,2025-10-01 06:15:16.642362,4,45,115,155853.80000000002,45,Trichy To Erode,Trichy,Erode,448,Trichy → Erode,-111,100.0,1355.2504347826089,Very High
TRIP00025,R024,OP004,BIKE,2026-09-15 13:30:00,2026-09-16 00:24:10.968024,1,57,57,82711.66,56,Madurai To Thanjavur,Madurai,Thanjavur,544,Madurai → Thanjavur,-56,100.0,1451.081754385965,Very High
TRIP00026,R013,OP019,AUTO,2026-02-07 08:30:00,2026-02-07 11:06:41.106815,3,56,111,47653.64,56,Hyderabad To Erode,Hyderabad,Erode,147,Hyderabad → Erode,-108,100.0,429.31207207207206,Very High
TRIP00027,R022,OP010,BUS,2026-09-10 21:45:00,2026-09-11 03:17:50.167854,30,48,146,120026.1,48,Bengaluru To Chennai,Bengaluru,Chennai,278,Bengaluru → Chennai,-116,100.0,822.0965753424658,Very High
TRIP00028,R025,OP008,BIKE,2026-02-01 08:15:00,2026-02-01 14:49:46.310750,1,42,42,46404.51,42,Vellore To Bengaluru,Vellore,Bengaluru,329,Vellore → Bengaluru,-41,100.0,1104.8692857142858,Very High
TRIP00029,R013,OP011,BUS,2026-12-08 11:30:00,2026-12-08 14:13:15.744649,40,58,176,73437.53,58,Hyderabad To Erode,Hyderabad,Erode,147,Hyderabad → Erode,-136,100.0,417.25869318181816,Very High
TRIP00030,R003,OP009,BIKE,2026-08-04 13:15:00,2026-08-04 22:32:39.400558,1,56,56,90692.02,54,Pondicherry To Erode,Pondicherry,Erode,537,Pondicherry → Erode,-55,100.0,1619.5003571428572,Very High
TRIP00031,R030,OP019,CAB,2025-01-13 11:15:00,2025-01-13 12:56:02.341963,5,59,126,51817.92,59,Thanjavur To Pondicherry,Thanjavur,Pondicherry,112,Thanjavur → Pondicherry,-121,100.0,411.25333333333333,Very High
TRIP00032,R004,OP013,CAB,2026-02-02 15:45:00,2026-02-03 00:37:42.882535,5,42,114,160971.53,42,Bengaluru To Madurai,Bengaluru,Madurai,618,Bengaluru → Madurai,-109,100.0,1412.0309649122808,Very High
TRIP00033,R017,OP010,CAB,2026-05-07 22:30:00,2026-05-08 03:27:48.186226,4,50,128,84012.85,50,Coimbatore To Tirunelveli,Coimbatore,Tirunelveli,322,Coimbatore → Tirunelveli,-124,100.0,656.350390625,Very High
