actual_is_cancelled,cancellation_probability,predicted_cancellation,risk_level
0,0.46756107266336666,0,MEDIUM
0,0.45638001573320314,0,MEDIUM
0,0.507517492996051,1,MEDIUM
1,0.49391646757178564,0,MEDIUM
0,0.46528007721994585,0,MEDIUM
0,0.5238907095953603,1,MEDIUM
0,0.5076327443128363,1,MEDIUM
0,0.5083535102002141,1,MEDIUM
0,0.48866392124961067,0,MEDIUM
1,0.48901191251593423,0,MEDIUM
0,0.5525187864492589,1,MEDIUM
0,0.4686573935606303,0,MEDIUM
0,0.48392938808631775,0,MEDIUM
0,0.5043511048434165,1,MEDIUM
0,0.5802679730010979,1,MEDIUM
0,0.5095806731397282,1,MEDIUM
0,0.49122092446917404,0,MEDIUM
0,0.5127061136232774,1,MEDIUM
0,0.5191447578854315,1,MEDIUM
0,0.55878537949387,1,MEDIUM
0,0.49632874576527575,0,MEDIUM
1,0.5184572620147998,1,MEDIUM
0,0.47769353170243933,0,MEDIUM
0,0.5591667040997879,1,MEDIUM
0,0.535918100597611,1,MEDIUM
0,0.5631936539069136,1,MEDIUM
0,0.4711856961457114,0,MEDIUM
0,0.49355351396207175,0,MEDIUM
0,0.48213874103560816,0,MEDIUM
0,0.40658946593096634,0,MEDIUM
0,0.5000706772093726,1,MEDIUM
0,0.49290073957659103,0,MEDIUM
0,0.4424154410106937,0,MEDIUM
1,0.4876267868782239,0,MEDIUM
0,0.4786395238893774,0,MEDIUM
0,0.47703118169107883,0,MEDIUM
1,0.5009562335215672,1,MEDIUM
0,0.4795251371046893,0,MEDIUM
0,0.5093538371832166,1,MEDIUM
0,0.514157230084785,1,MEDIUM
0,0.5217050092787492,1,MEDIUM
0,0.48916088570331506,0,MEDIUM
1,0.4675796116764775,0,MEDIUM
0,0.4829733315304414,0,MEDIUM
1,0.4574495632630438,0,MEDIUM
0,0.5037294726662253,1,MEDIUM
0,0.46703861692877974,0,MEDIUM
0,0.4607442251756179,0,MEDIUM
0,0.5198473544054076,1,MEDIUM
0,0.5185972311844611,1,MEDIUM
0,0.458473312081119,0,MEDIUM
0,0.5136588223927177,1,MEDIUM
0,0.49498583748047686,0,MEDIUM
0,0.4927543080404713,0,MEDIUM
0,0.5040704090968003,1,MEDIUM
0,0.48767424097213197,0,MEDIUM
1,0.5393671147434782,1,MEDIUM
0,0.5010571480773137,1,MEDIUM
1,0.5498463141270387,1,MEDIUM
0,0.4803108376106307,0,MEDIUM
0,0.5364269597581564,1,MEDIUM
0,0.5199009484774829,1,MEDIUM
0,0.5202282959194202,1,MEDIUM
0,0.5423976365335595,1,MEDIUM
0,0.49829309349470086,0,MEDIUM
0,0.48477912479464086,0,MEDIUM
0,0.5194785396814315,1,MEDIUM
0,0.5778927219709368,1,MEDIUM
0,0.5390151466860368,1,MEDIUM
0,0.507095543568257,1,MEDIUM
0,0.48545005001163366,0,MEDIUM
0,0.5823380750971752,1,MEDIUM
0,0.49793921118249684,0,MEDIUM
1,0.5383210443634456,1,MEDIUM
0,0.4524681544279402,0,MEDIUM
0,0.5281305511280611,1,MEDIUM
0,0.4629356292177311,0,MEDIUM
0,0.5041574414872261,1,MEDIUM
0,0.5068397293306937,1,MEDIUM
0,0.5277485360686904,1,MEDIUM
0,0.5123285781722313,1,MEDIUM
0,0.4909225489343662,0,MEDIUM
0,0.4909896577884041,0,MEDIUM
0,0.4903207802517531,0,MEDIUM
0,0.5324714712114648,1,MEDIUM
0,0.43406899173668184,0,MEDIUM
0,0.5050172610612882,1,MEDIUM
0,0.48988713980826415,0,MEDIUM
0,0.5331854092537431,1,MEDIUM
0,0.5247899661970625,1,MEDIUM
0,0.49142322779596487,0,MEDIUM
0,0.4544153741813849,0,MEDIUM
1,0.5063168294082205,1,MEDIUM
0,0.48859950531718166,0,MEDIUM
0,0.4748181350263637,0,MEDIUM
0,0.49765563411781916,0,MEDIUM
0,0.4777856172428723,0,MEDIUM
0,0.5043412091042908,1,MEDIUM
0,0.5318528009941179,1,MEDIUM
0,0.5663393332441715,1,MEDIUM
0,0.5888724496065224,1,MEDIUM
0,0.48965710462587175,0,MEDIUM
1,0.4728188687820692,0,MEDIUM
0,0.5481087881567298,1,MEDIUM
0,0.5611436645258463,1,MEDIUM
0,0.46883215228961705,0,MEDIUM
0,0.5274796265961754,1,MEDIUM
0,0.5167537050280551,1,MEDIUM
0,0.5155397285593512,1,MEDIUM
0,0.5211658069074826,1,MEDIUM
0,0.4927624828678402,0,MEDIUM
0,0.4545517363612012,0,MEDIUM
0,0.540905980286179,1,MEDIUM
1,0.46278078806595735,0,MEDIUM
0,0.5266258690570429,1,MEDIUM
0,0.5182607094472729,1,MEDIUM
0,0.5110132807679678,1,MEDIUM
0,0.5403510717010277,1,MEDIUM
0,0.5192924957543084,1,MEDIUM
0,0.5246299141159472,1,MEDIUM
0,0.5131549475789314,1,MEDIUM
0,0.5072694337915689,1,MEDIUM
1,0.5282399559383585,1,MEDIUM
0,0.506832343056349,1,MEDIUM
0,0.49039358989562487,0,MEDIUM
0,0.5066848608677214,1,MEDIUM
1,0.441272280015754,0,MEDIUM
0,0.5403123405914038,1,MEDIUM
0,0.4849733576143743,0,MEDIUM
0,0.5054934043231676,1,MEDIUM
0,0.49101625730018617,0,MEDIUM
0,0.5319671271117442,1,MEDIUM
0,0.4238092249425871,0,MEDIUM
0,0.49353304761980576,0,MEDIUM
0,0.5748386335854634,1,MEDIUM
1,0.5307658373909129,1,MEDIUM
0,0.5337077881438936,1,MEDIUM
0,0.5193445916656548,1,MEDIUM
0,0.4973294760786532,0,MEDIUM
0,0.4387147622347874,0,MEDIUM
0,0.49139889239927037,0,MEDIUM
