feature,importance
num__total_amount,0.12260681974519677
num__price_per_seat,0.11678683102508013
num__ticket_price,0.11642732244457205
num__lead_time_days,0.11206007210446821
num__booking_day_of_week,0.06641818176873099
num__booking_month,0.053931913042833346
num__travel_hour,0.047054857877543085
num__travel_month,0.039266915744262124
num__travel_day_of_week,0.035350700765184456
num__seat_count,0.0314094891261992
num__total_seats,0.02844258901613947
num__distance_km,0.026917819353498178
num__base_fare,0.02687059389247357
cat__payment_method_WALLET,0.016452011841309122
cat__payment_method_UPI,0.01631572326481819
cat__payment_method_CASH,0.016234681600433506
cat__payment_method_NETBANKING,0.01610058524086193
cat__payment_method_CARD,0.01581256011932799
cat__vehicle_type_CAB,0.008342945725820195
cat__vehicle_type_AUTO,0.007974289725646896
cat__vehicle_type_BUS,0.007035033977406502
cat__vehicle_type_BIKE,0.006231122222353199
cat__distance_category_Long,0.00413825601634368
cat__distance_category_Medium,0.0034805442788758568
cat__route_id_R008,0.002788195068565692
cat__route_id_R002,0.0027255160264029834
cat__route_id_R010,0.002591143963022752
cat__route_id_R027,0.0024961088202759972
cat__route_id_R019,0.002424060344944904
cat__route_id_R001,0.002401731141624496
cat__route_id_R005,0.002321182507614464
cat__route_id_R015,0.0022123942127984706
cat__route_id_R025,0.002149386122090455
cat__route_id_R020,0.0020708640619575103
cat__route_id_R009,0.0020471569899075106
cat__route_id_R016,0.0020422787855684356
cat__route_id_R028,0.0020282956657001567
cat__route_id_R023,0.0019545159808967323
cat__route_id_R018,0.0019533937800463937
cat__route_id_R014,0.001933006765350309
cat__route_id_R011,0.001896818974145936
cat__route_id_R017,0.0018806924233970399
cat__route_id_R029,0.0018394352850193297
cat__route_id_R013,0.0017426648749615645
cat__route_id_R030,0.0016531845515171412
cat__route_id_R024,0.0016521508605235695
cat__route_id_R026,0.0015368336009327608
cat__route_id_R012,0.0015117964255799419
cat__route_id_R006,0.0014986443942070049
cat__route_id_R022,0.0014373954191784048
cat__distance_category_Very Long,0.0014310808289568397
cat__route_id_R003,0.0013787737787162105
cat__route_id_R004,0.0012127188643964093
cat__route_id_R021,0.0009140321630476292
cat__route_id_R007,0.0006126873992743733
num__booking_hour,0.0
