booking_date,demand,data_type
2024-11-01,229.0,Historical
2024-12-01,667.0,Historical
2025-01-01,917.0,Historical
2025-02-01,756.0,Historical
2025-03-01,644.0,Historical
2025-04-01,944.0,Historical
2025-05-01,1307.0,Historical
2025-06-01,1171.0,Historical
2025-07-01,897.0,Historical
2025-08-01,920.0,Historical
2025-09-01,798.0,Historical
2025-10-01,718.0,Historical
2025-11-01,732.0,Historical
2025-12-01,905.0,Historical
2026-01-01,965.0,Historical
2026-02-01,691.0,Historical
2026-03-01,784.0,Historical
2026-04-01,786.0,Historical
2026-05-01,640.0,Historical
2026-06-01,740.0,Historical
2026-07-01,940.0,Historical
2026-08-01,940.0,Historical
2026-09-01,765.94,Test Forecast
2026-09-01,773.0,Historical
2026-10-01,636.0,Historical
2026-10-01,771.56,Test Forecast
2026-11-01,388.0,Historical
2026-11-01,779.99,Test Forecast
2026-12-01,112.0,Historical
2026-12-01,902.81,Test Forecast
2027-01-01,878.65,Future Forecast
2027-02-01,899.67,Future Forecast
2027-03-01,767.4,Future Forecast
2027-04-01,763.29,Future Forecast
2027-05-01,762.4,Future Forecast
2027-06-01,768.6,Future Forecast
