recommendation_type,entity_type,entity_id,priority,risk_level,probability,recommendation,business_reason
Customer Marketing,Customer,CUST00001,HIGH,champions,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Customer Marketing,Customer,CUST00014,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.
Customer Marketing,Customer,CUST00011,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.
Customer Marketing,Customer,CUST00008,HIGH,champions,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Customer Marketing,Customer,CUST00007,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.
Customer Marketing,Customer,CUST00006,HIGH,champions,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Customer Marketing,Customer,CUST00035,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.
Customer Marketing,Customer,CUST00030,HIGH,champions,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Customer Marketing,Customer,CUST00029,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.
Customer Marketing,Customer,CUST00024,HIGH,champions,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Customer Marketing,Customer,CUST00020,HIGH,champions,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Customer Marketing,Customer,CUST00054,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.
Customer Marketing,Customer,CUST00053,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.
Customer Marketing,Customer,CUST00037,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.
Customer Marketing,Customer,CUST00072,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.
Customer Marketing,Customer,CUST00067,HIGH,champions,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Customer Marketing,Customer,CUST04964,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.
Customer Marketing,Customer,CUST04963,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.
Customer Marketing,Customer,CUST04962,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.
Customer Marketing,Customer,CUST04959,HIGH,champions,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Customer Marketing,Customer,CUST04956,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.
Customer Marketing,Customer,CUST04955,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.
Customer Marketing,Customer,CUST04952,HIGH,champions,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Customer Marketing,Customer,CUST04978,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.
Customer Marketing,Customer,CUST04977,HIGH,champions,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Customer Marketing,Customer,CUST04976,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.
Customer Marketing,Customer,CUST04974,HIGH,champions,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Customer Marketing,Customer,CUST04971,HIGH,champions,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Customer Marketing,Customer,CUST04968,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.
Customer Marketing,Customer,CUST04967,HIGH,champions,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Demand Forecast,Month,2027-01,HIGH,N/A,,"Prepare additional vehicles, seats and operational capacity.",Forecast demand is above the 75th percentile.
Customer Marketing,Customer,CUST00002,HIGH,champions,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
